PROJECTNAME,TRIP_CODE,SAMPLEDEPTH_M,SAMPLEDATELOCAL,SALINITY_PSU,SALINITY_FLAG,SALINITY_COMMENTS,SILICATE_UMOLL,SILICATE_FLAG,NITRATE_UMOLL,NITRATE_FLAG,PHOSPHATE_UMOLL,PHOSPHATE_FLAG,AMMONIUM_UMOLL,AMMONIUM_FLAG,NITRITE_UMOLL,NITRITE_FLAG,NUTRIENT_COMMENTS,DIC_UMOLKG,CARBON_FLAG,CARBON_COMMENTS,TALKALINITY_UMOLKG,ALKALINITY_FLAG,ALKALINITY_COMMENTS,OXYGEN_UMOLL,OXYGEN_FLAG,OXYGEN_COMMENTS,MICROBIOMESAMPLE_ID
NRS,PHB20100817,10,2010-08-18 09:45:00,35.596,1,,,0,,0,,0,,0,,0,,,9,,,9,,,9,,
NRS,MAI20110407,40,2011-04-07 10:45:00,35.3,1,,,0,,0,,0,,0,,0,,,9,,,9,,255.5,1,,
NRS,PHB20110914,100,2011-09-15 09:58:00,35.426,1,,,0,,0,,0,,0,,0,,2094.31,1,,2329.13,1,,,9,,
NRS,ROT20130125,30,2013-01-25 10:50:00,35.68,1,,,0,,0,,0,,0,,0,,,9,WOCE - no data,,9,,,9,,
NRS,ROT20120523,50,2012-05-23 12:37:00,35.264,1,,,0,,0,,0,,0,,0,,2013.83,1,,2314.24,1,,,9,,
NRS,DAR20121208_2330,0,2012-12-09 09:00:00,,9,no salinity taken,,0,,0,,0,,0,,0,,1995.18,1,,2286.78,1,,,9,,
NRS,YON20121219,20,2012-12-19 10:35:00,35.552,1,,,0,,0,,0,,0,,0,,1991.5,1,,2322.92,1,,,9,,
NRS,PHB20121218,10,2012-12-18 22:31:00,35.467,1,,,0,,0,,0,,0,,0,,,9,,,9,,,9,,http://hdl.handle.net/102.100.100/27408
NRS,PHB20100316,30,2010-03-16 09:38:00,35.547,1,,1.9,1,5,1,0.43,1,0.13,1,,9,,,9,,,9,,,9,,
NRS,NIN20120226,40,2012-02-26 10:09:00,34.744,1,,3.8,1,0.6,1,0.14,1,0.05,1,,9,,1988.41,1,,2285.38,1,,,9,,
NRS,MAI20090506,75,2009-05-06 03:00:00,35.291,1,,0.9,1,3,1,0.3,1,0.21,1,,9,,2082.72,1,,2321.8,1,,,9,,
NRS,PHB20100119,40,2010-01-20 09:35:00,35.443,1,,2.6,1,4.5,1,0.42,1,0.31,1,,9,,2079.51,1,,2322.09,1,,,9,,
NRS,YON20100729,26,2010-07-29 11:37:00,35.267,1,,,0,,0,,0,,0,,0,,1979.44,1,,2303.48,1,,,9,,
NRS,ESP20090512,0,2009-05-12 13:50:00,,9,,,0,,0,,0,,0,,0,,2067.84,1,,2346.9,1,,1.5,1,,
NRS,KAI20110718,10,2011-07-19 09:15:00,,9,,,0,,0,,0,,0,,0,,2083.75,1,,2357.16,1,,,9,,
NRS,KAI20110718,50,2011-07-19 09:15:00,,9,,,0,,0,,0,,0,,0,,2085.55,1,,2359.11,1,,,9,,
NRS,PHB20110517,40,2011-05-18 09:40:00,35.534,1,,,0,,0,,0,,0,,0,,2016.4,1,,2325.38,1,,,9,,
NRS,PHB20091206,40,2009-12-07 09:29:00,35.502,1,,,0,,0,,0,,0,,0,,2037.2,1,,2329.14,1,,,9,,
NRS,PHB20100609,0,2010-06-09 11:08:00,35.308,1,,,0,,0,,0,,0,,0,,2005.1,1,,2312.44,1,,,9,,
NRS,MAI20111005,85,2011-10-05 12:39:00,35.29,1,,0.9,1,2.6,1,0.31,1,0.26,1,,9,,2097.1,1,,2324.8,1,,268.2,1,,
