I_SAMPLE_ID,TRIP_CODE,SCIENTIFICNAME,SPCODE,TAXON_COUNT,COMMENTS
1,Ch179,Clupeidae - undifferentiated,37085922,1,
1,Ch179,Lophonectes gallus,37460001,1,
1,Ch179,Moridae - undifferentiated,37224903,1,
1,Ch179,Myctophidae - undifferentiated,37122000,2,
1,Ch179,Scorpaenidae - undifferentiated,37287900,2,
1,Ch179,Superclass Pisces - undifferentiated,37000000,15,Unidentified as too damaged or unknown
2,Ch179,Clupeidae - undifferentiated,37085922,1,
2,Ch179,Lophonectes gallus,37460001,1,
2,Ch179,Nomeidae - undifferentiated,37446000,15,
3,Ch179,Mugilidae - undifferentiated,37381000,2,
3,Ch179,Scorpaenidae - undifferentiated,37287900,15,
3,Ch179,Superclass Pisces - undifferentiated,37000000,3,Unidentified as too damaged or unknown
4,Ch179,Lepidotrigla spp.,37288901,2,
4,Ch179,Lophonectes gallus,37460001,2,
4,Ch179,Platycephalidae - undifferentiated,37296900,2,
4,Ch179,Superclass Pisces - undifferentiated,37000000,5,Unidentified as too damaged or unknown
5,Ch179,Lophonectes gallus,37460001,4,
5,Ch179,Nomeidae - undifferentiated,37446000,15,
5,Ch179,Platycephalidae - undifferentiated,37296900,25,
5,Ch179,Superclass Pisces - undifferentiated,37000000,15,Unidentified as too damaged or unknown
6,Ch179,Lophonectes gallus,37460001,2,
6,Ch179,Superclass Pisces - undifferentiated,37000000,18,Unidentified as too damaged or unknown
7,Ch179,Superclass Pisces - undifferentiated,37000000,4,Unidentified as too damaged or unknown
8,Ch179,Nomeidae - undifferentiated,37446000,10,
8,Ch179,Scorpaenidae - undifferentiated,37287900,3,
8,Ch179,Superclass Pisces - undifferentiated,37000000,2,Unidentified as too damaged or unknown
9,Ch179,Myctophidae - undifferentiated,37122000,1,
9,Ch179,Nomeidae - undifferentiated,37446000,4,
9,Ch179,Scorpaenidae - undifferentiated,37287900,2,
9,Ch179,Superclass Pisces - undifferentiated,37000000,3,Unidentified as too damaged or unknown
10,Ch179,Superclass Pisces - undifferentiated,37000000,2,Unidentified as too damaged or unknown
14,Ch189,Platycephalidae - undifferentiated,37296900,4,
14,Ch189,Superclass Pisces - undifferentiated,37000000,5,Unidentified as too damaged or unknown
14,Ch189,Thyrsites atun,37439001,1,
14,Ch189,Trachurus declivis,37337002,9,
15,Ch189,Myctophidae - undifferentiated,37122000,1,
15,Ch189,Superclass Pisces - undifferentiated,37000000,2,Unidentified as too damaged or unknown
17,Ch189,Platycephalidae - undifferentiated,37296900,1,
17,Ch189,Superclass Pisces - undifferentiated,37000000,1,Unidentified as too damaged or unknown
17,Ch189,Tetragonurus spp.,37449901,2,
17,Ch189,Trachurus declivis,37337002,38,
18,Ch189,Clinidae - undifferentiated,37416000,3,
18,Ch189,Clupeidae - undifferentiated,37085922,1,
18,Ch189,Lophonectes gallus,37460001,2,
18,Ch189,Monacanthidae - undifferentiated,37465903,10,
18,Ch189,Pempheris spp.,37357903,1,
18,Ch189,Platycephalidae - undifferentiated,37296900,3,
18,Ch189,Scorpaenidae - undifferentiated,37287900,1,
18,Ch189,Superclass Pisces - undifferentiated,37000000,23,Unidentified as too damaged or unknown
18,Ch189,Thyrsites atun,37439001,7,
18,Ch189,Trachurus declivis,37337002,8,
19,Ch189,Cheilodactylus spp.,37377902,1,
19,Ch189,Lepidotrigla spp.,37288901,5,
19,Ch189,Lophonectes gallus,37460001,11,
19,Ch189,Monacanthidae - undifferentiated,37465903,3,
19,Ch189,Myctophidae - undifferentiated,37122000,3,
19,Ch189,Platycephalidae - undifferentiated,37296900,9,
19,Ch189,Superclass Pisces - undifferentiated,37000000,23,Unidentified as too damaged or unknown
19,Ch189,Tetragonurus spp.,37449901,3,
19,Ch189,Thyrsites atun,37439001,5,
19,Ch189,Trachurus declivis,37337002,273,
20,Ch189,Cheilodactylus spp.,37377902,1,
20,Ch189,Clupeidae - undifferentiated,37085922,2,
20,Ch189,Moridae - undifferentiated,37224903,4,
20,Ch189,Platycephalidae - undifferentiated,37296900,3,
