I_SAMPLE_ID,PROJECTNAME,TRIP_CODE,SAMPLEDATELOCAL,LATITUDE,LONGITUDE,STATIONNAME,SAMPVOL_M3,VESSEL,TOWTYPE,GEARDEPTH_M,GEARMESH_UM,DEPTH_M,TEMPERATURE_C,SALINITY_PSU,COMMENTS,QC_FLAG,FLAG_COMMENT
1,NIMO_Challenger_89,Ch179,1988-12-05 16:30:00,-42.75,148.1666667,,37,Challenger,Oblong,75,Bongo-500,80,15.4,,,0,
2,NIMO_Challenger_89,Ch179,1988-12-06 08:50:00,-42.61666667,148.4333333,,61,Challenger,Oblong,100,Bongo-500,130,15,,,0,
3,NIMO_Challenger_89,Ch179,1988-12-06 11:35:00,-42.51666667,148.2666667,,46,Challenger,Oblong,,Bongo-500,90,15.8,,,0,
4,NIMO_Challenger_89,Ch179,1988-12-06 13:35:00,-42.3,148.3333333,,38,Challenger,Oblong,,Bongo-500,70,15.2,,,0,
5,NIMO_Challenger_89,Ch179,1988-12-06 14:25:00,-42.23333333,148.4,,34,Challenger,Oblong,,Bongo-500,70,15.3,,,0,
6,NIMO_Challenger_89,Ch179,1988-12-07 12:55:00,-42.06666667,148.6166667,,41,Challenger,Oblong,100,Bongo-500,150,15.3,,,0,
7,NIMO_Challenger_89,Ch179,1988-12-07 15:16:00,-42.06666667,148.6166667,,20,Challenger,Oblong,,Bongo-500,47,15.7,,,0,
8,NIMO_Challenger_89,Ch179,1988-12-07 14:15:00,-41.9,148.4833333,,35,Challenger,Oblong,,Bongo-500,83,15.9,,,0,
9,NIMO_Challenger_89,Ch179,1988-12-07 16:50:00,-41.71666667,148.45,,102,Challenger,Oblong,,Bongo-500,70,15.8,,,0,
10,NIMO_Challenger_89,Ch179,1988-12-07 17:53:00,-41.6,148.5666667,,36,Challenger,Oblong,,Bongo-500,,17.7,,,0,
11,NIMO_Challenger_89,Ch179,1988-12-07 20:00:00,-41.43333333,148.35,,21,Challenger,Oblong,,Bongo-500,35,15.7,,,0,
12,NIMO_Challenger_89,Ch179,1988-12-07 19:30:00,-41.48333333,148.4333333,,38,Challenger,Oblong,,Bongo-500,90,16.1,,,0,
13,NIMO_Challenger_89,Ch189,1989-01-11 06:08:00,-40.98333333,148.4,,113,Challenger,Oblong,29,Bongo-500,37,14.8,,,0,
14,NIMO_Challenger_89,Ch189,1989-01-12 09:26:00,-41.56666667,148.4666667,,122,Challenger,Oblong,82,Bongo-500,98,16.1,,,0,
15,NIMO_Challenger_89,Ch189,1989-01-12 10:55:00,-41.56666667,148.5833333,,112,Challenger,Oblong,94,Bongo-500,170,17,,,0,
16,NIMO_Challenger_89,Ch189,1989-01-12 13:50:00,-41.81666667,148.5833333,,111,Challenger,Oblong,88,Bongo-500,126,17.1,,,0,
17,NIMO_Challenger_89,Ch189,1989-01-12 14:58:00,-41.81666667,148.45,,108,Challenger,Oblong,39,Bongo-500,76,15.7,,,0,
18,NIMO_Challenger_89,Ch189,1989-01-12 16:15:00,-41.81666667,148.3166667,,110,Challenger,Oblong,16,Bongo-500,39,16,,,0,
19,NIMO_Challenger_89,Ch189,1989-01-13 06:49:00,-42.03333333,148.3166667,,123,Challenger,Oblong,25,Bongo-500,54,16.2,,,0,
20,NIMO_Challenger_89,Ch189,1989-01-13 08:06:00,-42.03333333,148.4833333,,128,Challenger,Oblong,42,Bongo-500,87,16.4,,,0,
21,NIMO_Challenger_89,Ch189,1989-01-13 09:02:00,-42.06666667,148.6166667,,134,Challenger,Oblong,79,Bongo-500,140,17.3,,,0,
22,NIMO_Challenger_89,Ch189,1989-01-11 07:26:00,-40.9,148.5333333,,100,Challenger,Oblong,43,Bongo-500,80,16.9,,,0,
23,NIMO_Challenger_89,Ch189,1989-01-13 09:58:00,-42.08333333,148.7166667,,140,Challenger,Oblong,64,Bongo-500,1450,17.3,,,0,
24,NIMO_Challenger_89,Ch189,1989-01-13 11:29:00,-42.23333333,148.6666667,,159,Challenger,Oblong,55,Bongo-500,1258,17.1,,,0,
25,NIMO_Challenger_89,Ch189,1989-01-13 12:19:00,-42.26666667,148.5666667,,127,Challenger,Oblong,61,Bongo-500,140,17.1,,,0,
26,NIMO_Challenger_89,Ch189,1989-01-13 13:05:00,-42.28333333,148.45,,141,Challenger,Oblong,72,Bongo-500,107,17.1,,,0,
27,NIMO_Challenger_89,Ch189,1989-01-13 13:50:00,-42.3,148.3666667,,126,Challenger,Oblong,41,Bongo-500,86,16.6,,,0,
28,NIMO_Challenger_89,Ch189,1989-01-13 16:31:00,-42.5,148.05,,111,Challenger,Oblong,12,Bongo-500,40,15.9,,,0,
29,NIMO_Challenger_89,Ch189,1989-01-14 06:15:00,-42.55,148.2666667,,130,Challenger,Oblong,47,Bongo-500,85,17.4,,,0,
30,NIMO_Challenger_89,Ch189,1989-01-14 07:28:00,-42.61666667,148.4333333,,140,Challenger,Oblong,79,Bongo-500,160,17,,,0,
31,NIMO_Challenger_89,Ch189,1989-01-14 08:20:00,-42.65,148.55,,131,Challenger,Oblong,76,Bongo-500,1600,17,,,0,
32,NIMO_Challenger_89,Ch189,1989-01-14 09:11:00,-42.71666667,148.5166667,,128,Challenger,Oblong,89,Bongo-500,1600,17,,,0,
33,NIMO_Challenger_89,Ch189,1989-01-11 08:40:00,-40.86666667,148.75,,155,Challenger,Oblong,80,Bongo-500,150,16.8,,,0,
34,NIMO_Challenger_89,Ch189,1989-01-14 10:27:00,-42.76666667,148.3333333,,154,Challenger,Oblong,68,Bongo-500,130,17.5,,,0,
35,NIMO_Challenger_89,Ch189,1989-01-14 11:36:00,-42.8,148.1833333,,163,Challenger,Oblong,49,Bongo-500,94,16.8,,,0,
36,NIMO_Challenger_89,Ch189,1989-01-14 12:50:00,-42.85,148,,144,Challenger,Oblong,33,Bongo-500,65,16.8,,,0,
37,NIMO_Challenger_89,Ch189,1989-01-14 15:03:00,-43.03333333,148.3,,134,Challenger,Oblong,64,Bongo-500,970,17.4,,,0,
38,NIMO_Challenger_89,Ch189,1989-01-14 15:42:00,-43.03333333,148.2333333,,140,Challenger,Oblong,76,Bongo-500,135,17.3,,,0,
39,NIMO_Challenger_89,Ch189,1989-01-14 16:44:00,-43.03333333,148.1,,131,Challenger,Oblong,79,Bongo-500,97,17.5,,,0,
40,NIMO_Challenger_89,Ch189,1989-01-14 17:45:00,-43.03333333,147.9833333,,149,Challenger,Oblong,40,Bongo-500,74,16.7,,,0,
41,NIMO_Challenger_89,Ch189,1989-01-14 19:29:00,-43.25,148.0833333,,126,Challenger,Oblong,80,Bongo-500,190,16,,,0,
42,NIMO_Challenger_89,Ch189,1989-01-15 05:32:00,-43.28333333,147.8166667,,108,Challenger,Oblong,96,Bongo-500,120,15.9,,,0,
43,NIMO_Challenger_89,Ch189,1989-01-15 07:22:00,-43.21666667,147.5833333,,106,Challenger,Oblong,33,Bongo-500,65,16.3,,,0,
44,NIMO_Challenger_89,Ch189,1989-01-11 09:21:00,-40.85,148.8166667,,146,Challenger,Oblong,77,Bongo-500,730,16.9,,,0,
45,NIMO_Challenger_89,Ch189,1989-01-11 12:40:00,-41.25,148.7333333,,130,Challenger,Oblong,83,Bongo-500,1130,17.6,,,0,
46,NIMO_Challenger_89,Ch189,1989-01-11 13:52:00,-41.28333333,148.6333333,,129,Challenger,Oblong,81,Bongo-500,145,17.2,,,0,
47,NIMO_Challenger_89,Ch189,1989-01-11 15:17:00,-41.3,148.5,,129,Challenger,Oblong,52,Bongo-500,112,16,,,0,
48,NIMO_Challenger_89,Ch189,1989-01-11 16:37:00,-41.31666667,148.3666667,,120,Challenger,Oblong,48,Bongo-500,92,15.3,,,0,
49,NIMO_Challenger_89,Ch189,1989-01-12 08:11:00,-41.56666667,148.3333333,,123,Challenger,Oblong,16,Bongo-500,47,15.5,,,0,
50,NIMO_Challenger_89,Ch190,1989-01-25 12:10:00,-41.81683333,148.6825,,117,Challenger,Oblong,76,Bongo-500,1049,18.5,,,0,
51,NIMO_Challenger_89,Ch190,1989-01-25 12:55:00,-41.81716667,148.5838333,,125,Challenger,Oblong,74,Bongo-500,138,18.4,,,0,
52,NIMO_Challenger_89,Ch190,1989-04-12 09:20:00,-41.66733333,148.5883333,,100,Challenger,Oblong,52,Bongo-500,,18.4,,,0,
53,NIMO_Challenger_89,Ch190,1989-01-25 13:56:00,-41.81716667,148.4478333,,118,Challenger,Oblong,53,Bongo-500,76,18.2,,,0,
54,NIMO_Challenger_89,Ch190,1989-01-25 14:53:00,-41.8175,148.3166667,,107,Challenger,Oblong,40,Bongo-500,47,17.4,,,0,
55,NIMO_Challenger_89,Ch190,1989-01-25 08:48:00,-42.23133333,148.666,,136,Challenger,Oblong,68,Bongo-500,1173,18.3,,,0,
56,NIMO_Challenger_89,Ch190,1989-01-25 07:50:00,-42.26566667,148.5696667,,136,Challenger,Oblong,55,Bongo-500,127,17.7,,,0,
57,NIMO_Challenger_89,Ch190,1989-01-25 06:54:00,-42.28316667,148.45,,125,Challenger,Oblong,62,Bongo-500,99,17.7,,,0,
58,NIMO_Challenger_89,Ch190,1989-01-25 06:06:00,-42.30033333,148.3666667,,148,Challenger,Oblong,59,Bongo-500,76,17.4,,,0,
59,NIMO_Challenger_89,Ch190,1989-01-24 14:27:00,-42.50166667,148.0503333,,110,Challenger,Oblong,22,Bongo-500,30,16.8,,,0,
60,NIMO_Challenger_89,Ch190,1989-01-24 12:56:00,-42.55133333,148.2668333,,138,Challenger,Oblong,67,Bongo-500,90,17.4,,,0,
61,NIMO_Challenger_89,Ch190,1989-01-24 11:35:00,-42.61333333,148.4208333,,133,Challenger,Oblong,71,Bongo-500,124,18.1,,,0,
62,NIMO_Challenger_89,Ch190,1989-01-24 10:23:00,-42.71666667,148.5166667,,134,Challenger,Oblong,64,Bongo-500,1500,17.7,,,0,
63,NIMO_Challenger_89,Ch190,1989-01-24 08:59:00,-42.7735,148.3633333,,149,Challenger,Oblong,71,Bongo-500,170,17.3,,,0,
64,NIMO_Challenger_89,Ch190,1989-01-23 14:07:00,-42.81716667,148.169,,125,Challenger,Oblong,73,Bongo-500,92,16.6,,,0,
