TRIP_CODE,SAMPLE_CODE,SAMPLEDEPTH_M,SAMPLEDATELOCAL,REPLICATE,PROCHLOROCOCCUS_CELLSML,SYNECOCHOCCUS_CELLSML,PICOEUKARYOTES_CELLSML,PROCHLOROCOCCUS_FLAG,SYNECOCHOCCUS_FLAG,PICOEUKARYOTES_FLAG,PICO_COMMENTS,ANALYSIS_LOCATION,ANALYSIS_DATE,ANALYST_NAME,TEMP_THAWED_DEGC,INTERNAL_STANDARD,INSTRUMENT_BRAND_MODEL,INSTRUMENT_SERIAL_NUMBER,LASER_NM,MODE_TYPE,ANALYSIS_VOLUME_UL,FLOW_RATE_UL_PER_MIN,ANALYSIS_TIME_MINUTES,BATCH_COMMENTS
DAR20110627,NRSDAR20110627_PHYCYTWC_01,WC,2011-06-27 08:45:00,1,0,112172,2058,6,1,1,,,,,,,,,,,,,,
DAR20110627,NRSDAR20110627_PHYCYTWC_02,WC,2011-06-27 08:45:00,2,0,112476,2489,6,1,1,,,,,,,,,,,,,,
DAR20111005,NRSDAR20111005_PHYCYTWC_01,WC,2011-10-05 09:46:00,1,0,111888,4673,6,1,1,,,,,,,,,,,,,,
DAR20111005,NRSDAR20111005_PHYCYTWC_02,WC,2011-10-05 09:46:00,2,0,123449,5061,6,1,1,,,,,,,,,,,,,,
DAR20120114_2130,NRSDAR20120114_2130_PHYCYTWC_01,WC,2012-01-15 07:15:00,1,0,58653,2157,6,1,1,,,,,,,,,,,,,,
DAR20120114_2130,NRSDAR20120114_2130_PHYCYTWC_02,WC,2012-01-15 07:15:00,2,0,54065,2142,6,1,1,,,,,,,,,,,,,,
DAR20120114_2335,NRSDAR20120114_2335_PHYCYTWC_01,WC,2012-01-15 09:25:00,1,0,101210,2279,6,1,1,,,,,,,,,,,,,,
DAR20120114_2335,NRSDAR20120114_2335_PHYCYTWC_02,WC,2012-01-15 09:25:00,2,0,112455,3000,6,1,1,,,,,,,,,,,,,,
DAR20120115_0335,NRSDAR20120115_0335_PHYCYTWC_01,WC,2012-01-15 13:20:00,1,0,91550,2132,6,1,1,,,,,,,,,,,,,,
DAR20120115_0335,NRSDAR20120115_0335_PHYCYTWC_02,WC,2012-01-15 13:20:00,2,0,88673,2877,6,1,1,,,,,,,,,,,,,,
DAR20120115_0540,NRSDAR20120115_0540_PHYCYTWC_01,WC,2012-01-15 05:40:00,1,,,,0,0,0,,,,,,,,,,,,,,
