PROJECTNAME,TRIP_CODE,SAMPLEDATELOCAL,SAMPLEDEPTH_M,CPHL_C3,MG_DVP,CPHL_C2,CPHL_C1,CPHL_C1C2,CPHLIDE_A,PHIDE_A,PERID,PYROPHIDE_A,BUT_FUCO,FUCO,NEO,KETO_HEX_FUCO,PRAS,VIOLA,HEX_FUCO,ASTA,DIADCHR,DIADINO,DINO,ANTH,ALLO,MYXO,DIATO,ZEA,LUT,CANTHA,GYRO,DV_CPHL_B,CPHL_B,DV_CPHL_B_AND_CPHL_B,DV_CPHL_A,CPHL_A,DV_CPHL_A_AND_CPHL_A,ECHIN,PHYTIN_B,PHYTIN_A,LYCO,BETA_EPI_CAR,BETA_BETA_CAR,ALPHA_BETA_CAR,PYROPHYTIN_A,PIGMENTS_FLAG,PIGMENTS_COMMENTS
NRS,YON20110720,2011-07-20 12:53:00,8,0.01,0,0.009,0,,0.008,0,0,0,0.01,0.013,0,0,0,0.002,0.022,0,0,0.009,0,0,0,0,0.003,0.061,0,0,0,0,0.008,0.008,0.009,0.121,0.13,0,0,0,0,,,0.01,0,1,
NRS,YON20120402,2012-04-02 11:18:00,8,0.014,0,0.018,0,,0.017,0,0,0,0.004,0.043,0,0,0.003,0.001,0.021,0.005,0,0.01,0,0,0,0,0,0.121,0,0,0,0,0.027,0.027,0,0.321,0.321,0,0,0,0,,,0.02,0,1,
NRS,NIN20130209,2013-02-09 10:15:00,20,0.018,0,0.029,0,,0.017,0,0.009,0,0.01,0.035,0.002,0,0.005,0.003,0.034,0.011,0,0.014,0,0,0,0,0,0.059,0,0,0,0.004,0.017,0.021,0.032,0.194,0.226,0,0,0,0,,,0.018,0,1,
NRS,PHB20091110,2009-11-11 11:30:00,WC,0.124,0,0.076,0,,0.184,0,0.012,0,0.017,0.3,0,0,0,0,0.026,0,0,0.033,0,0,0,0,0.012,0,0,0,0,0,0,0,0,0.471,0.471,0,0,0,0,,,0.014,0,1,
NRS,PHB20110228,2011-03-01 09:30:00,WC,0.029,0,0.036,0.006,,0,0,0.013,0,0.028,0.019,0.023,0,0.031,0.011,0.049,0,0,0.008,0,0,0.008,0,0,0.044,0.025,0,0,0,0.161,0.161,0.027,0.413,0.44,0,0.005,0,0,,,0.03,0,2,station start time used
NRS,PHB20111117,2011-11-18 09:51:00,WC,0.046,0,0.071,0.016,,0,0,0.034,0.042,0.014,0.206,0.002,0,0.006,0.007,0.04,0,0,0.048,0,0.004,0.006,0,0.006,0,0,0,0,0,0.019,0.019,0,0.592,0.592,0,0,0,0,,,0.02,0,2,WQM time used
NRS,MAI20150312,2015-03-13 11:35:00,0,0.027,0,0.078,0,,0.011,0,0.005,0,0.023,0.036,0.01,0,0.024,0.01,0.049,0.003,0,0.023,0,0.002,0.066,0,0.004,0.022,0.003,0,0,0,0.095,0.095,0.008,0.557,0.565,0,0,0,0,,,0.024,0,1,
NRS,MAI20150312,2015-03-13 11:35:00,WC,0.038,0,0.099,0,,0.04,0,0.011,0,0.025,0.053,0.019,0,0.045,0.012,0.067,0.005,0,0.018,0,0.002,0.072,0,0.002,0.036,0.003,0,0,0,0.156,0.156,0.012,0.682,0.694,0,0,0,0,,,0.023,0,1,
NRS,MAI20150224,2015-02-25 11:20:00,85,0.008,0,0.008,0,,0,0,0,0,0.009,0.008,0,0,0,0,0.008,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0.033,0.033,0,0,0,0,,,0.002,0,1,
NRS,MAI20150224,2015-02-25 11:20:00,0,0.032,0,0.044,0,,0.007,0,0.007,0,0.024,0.041,0.003,0,0.008,0.005,0.059,0.003,0,0.035,0,0,0.013,0,0.007,0.007,0,0,0,0,0.026,0.026,0,0.28,0.28,0,0,0,0,,,0.009,0,1,
NRS,NSI20130806,2013-08-06 11:10:00,WC,0.059,0,0.046,0,,0.046,0.039,0,0,0.013,0.098,0,0,0,0,0.024,0,0,0.011,0,0,0,0,0,0.004,0,0,0,0,0.006,0.006,0,0.248,0.248,0,0,0,0,,,0.006,0,1,
NRS,ROT20100315,2010-03-15 10:42:00,40,0.03,0,0.06,0,,0,0,0.006,0,0.017,0.117,0.006,0,0.014,0.004,0.057,0,0,0.022,0,0,0.004,0,0,0.019,0,0,0,0,0.044,0.044,0,0.334,0.334,0,0,0,0,,,0.013,0,1,
NRS,ROT20110224,2011-02-24 10:34:00,40,0.04,0,0.029,0,,0.007,0,0,0,0.031,0.047,0.003,0,0.008,0.002,0.053,0,0,0.014,0,0,0.003,0,0,0.018,0,0,0,0.007,0.035,0.042,0.027,0.218,0.245,0,0,0,0,,,0.017,0,1,
NRS,ROT20130221,2013-02-21 13:55:00,40,0.017,0,0.025,0.003,,0,0,0,0,0.008,0.022,0.003,0,0.007,0,0.028,0,0,0.004,0,0.003,0.003,0,0,0.018,0,0,0,0,0.045,0.045,0.006,0.222,0.228,0,0,0,0,,,0.007,0,1,
NRS,ROT20111221,2011-12-21 16:55:00,40,0.021,0,0.028,0.004,,0,0,0.005,0,0.014,0.033,0.005,0,0.014,0.004,0.059,0,0,0.01,0,0,0.006,0,0,0.043,0,0,0,0,0.043,0.043,0,0.266,0.266,0,0,0,0,,,0.016,0,1,
NRS,YON20140624,2014-06-24 11:49:00,1,0.01,0,0.009,0,,0.005,0,0,0,0.007,0.007,0,0,0,0.001,0.015,0,0,0.007,0,0,0,0,0,0.056,0,0,0,0,0.005,0.005,0.023,0.097,0.12,0,0,0,0,,,0.012,0,1,
NRS,DAR20121208_1630,2012-12-09 02:00:00,21,0.026,0,0.042,0.013,,0,0,0,0,0,0.128,0,0,0.011,0,0.027,0.005,0,0.015,0,0,0.009,0,0,0.054,0,0,0,0,0.042,0.042,0,0.415,0.415,0,0,0,0,,,0.027,0,1,
NRS,YON20101208,2010-12-08 11:30:00,26,0.018,0,0.025,0,,0.01,0,0,0,0.014,0.035,0,0,0,0.002,0.042,0,0,0.013,0,0,0,0,0,0.112,0,0,0,0.009,0.008,0.017,0.11,0.175,0.285,0,0,0,0,,,0.031,0,1,
NRS,NIN20120827,2012-08-27 09:28:00,40,0.049,0,0.05,0,,0.011,0,0.008,0,0.044,0.041,0.004,0,0.009,0.003,0.074,0.004,0,0.009,0,0,0.005,0,0,0.061,0,0,0,0.013,0.05,0.063,0.101,0.339,0.44,0,0,0,0,,,0.03,0,1,
NRS,KAI20110319,2011-03-20 09:45:00,40,0.067,0,0.075,0,,0.009,0,0.048,0,0.042,0.071,0.008,0,0.019,0.006,0.131,0.004,0,0.029,0,0,0.01,0,0.005,0.021,0,0,0,0,0.062,0.062,0.009,0.532,0.541,0,0,0,0,,,0.023,0,2,
NRS,ESP20111130,2011-11-30 15:28:00,20,0.026,0,0.02,0.008,,0,0.04,0,0,0.017,0.057,0.004,0,0.012,0.005,0.042,0.009,0,0.018,0,0,0,0,0.004,0.027,0,0,0,0,0.034,0.034,0.008,0.245,0.253,0,0,0,0,,,0.006,0,1,
NRS,NSI20110119,2011-01-19 10:00:00,WC,0.033,0,0.039,0,,0.025,0.032,0,0,0.023,0.104,0.008,0,0.013,0.003,0.049,0,0,0.011,0,0,0.004,0,0.007,0.039,0.009,0,0,0,0.065,0.065,0.034,0.369,0.403,0,0,0,0,,,0.018,0,2,station start time used
NRS,DAR20140906_0630,2014-09-06 16:00:00,24,0.011,0,0.025,0,,0.012,0,0,0,0.007,0.074,0.004,0,0.012,0.004,0.025,0.006,0,0.012,0,0,0.005,0,0,0.084,0,0,0,0,0.037,0.037,0,0.322,0.322,0,0,0,0,,,0.026,0,1,Used whatman GF/F 47mm
NRS,PHB20140824,2014-08-25 11:32:00,WC,0.043,0,0.077,0,,0.023,0,0.011,0,0.036,0.045,0.014,0,0.034,0.017,0.068,0,0,0.021,0,0.002,0.05,0,0.003,0.011,0,0,0,0,0.122,0.122,0,0.605,0.605,0,0,0,0,,,0.022,0,1,
NRS,KAI20100112,2010-01-13 07:00:00,90,0.009,0,0.014,0,,0,0,0,0,0.04,0.022,0.004,0,0.004,0.002,0.016,0,0,0.005,0,0,0,0,0,0.012,0,0,0,0,0.032,0.032,0.014,0.125,0.139,0,0,0,0,,,0.008,0,4,volume not recorded-station start time used
NRS,KAI20100112,2010-01-13 07:00:00,WC,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,9,sample lost at Hobart (vial exploded)-station start time used
NRS,KAI20110427,2011-04-28 07:35:00,WC,0.025,0,0.029,0.003,,0,0,0.005,0,0.03,0.013,0.003,0,0.006,0.002,0.058,0,0,0.01,0,0.003,0.005,0,0.004,0.069,0,0,0,0.004,0.028,0.032,0.086,0.195,0.281,0,0,0,0,,,0.021,0,2,station start time used
NRS,PHB20090223,2009-02-24 12:34:00,WC,0.029,0,0.027,0,,0.014,0,0,0,0.024,0.044,0.005,0,0.008,0.004,0.039,0,0,0.014,0,0,0,0,0.005,0.024,0,0,0,0,0.033,0.033,0,0.21,0.21,0,0,0,0,,,0.013,0,1,
NRS,NSI20091015,2009-10-15 11:10:00,WC,0.128,0,0,0.157,,0,0,0.01,0,0.014,0.298,0,0,0,0,0.049,0,0,0.032,0,0,0,0,0.008,0.004,0,0,0,0,0.013,0.013,0,0.575,0.575,0,0,0,0,,,0.009,0,2,station start time used
NRS,MAI20090506,2009-05-06 13:00:00,20,0.053,0,0.068,0.009,,0,0,0.014,0,0.038,0.031,0.016,0,0.033,0.014,0.096,0,0,0.022,0,0,0.026,0,0,0.027,0,0,0,0,0.143,0.143,0.013,0.547,0.56,0,0,0,0,,,0.025,0,1,
NRS,PHB20141208,2014-12-09 09:56:00,15,0.041,0,0.072,0,,0.021,0,0.01,0,0.022,0.014,0.004,0,0.01,0.004,0.055,0.004,0,0.026,0,0,0.002,0,0.002,0.03,0,0,0,0,0.043,0.043,0.01,0.522,0.532,0,0,0,0,,,0.019,0,1,
NRS,PHB20141208,2014-12-09 09:56:00,0,0.027,0,0.05,0,,0.016,0,0.009,0,0.018,0.087,0.005,0,0.008,0.004,0.052,0.003,0,0.022,0,0,0.003,0,0.002,0.041,0,0,0,0,0.037,0.037,0.007,0.415,0.422,0,0,0,0,,,0.018,0,1,
NRS,NSI20130913,2013-09-13 10:50:00,20,0.004,0,0,0,,0.005,0,0,0,0.004,0.009,0.002,0,0,0,0.009,0,0,0.003,0,0,0,0,0,0.042,0.004,0,0,0,0.009,0.009,0.013,0.126,0.139,0,0,0,0,,,0.006,0,0,
