TRIP_CODE,SAMPLEDATELOCAL,SAMPLEDEPTH_M,REPLICATE,TSS_MGL,INORGANICFRACTION_MGL,ORGANICFRACTION_MGL,TSS_FLAG,TSS_COMMENTS,BLANKADJUSTAVAILABLE
PHB20101110,2010-11-11 09:10:00,WC,1,0.7,0.5,0.3,1,,N
KAI20110427,2011-04-28 07:35:00,WC,1,1.1,0.6,0.6,1,,N
NSI20100214,2010-02-15 09:30:00,WC,1,0.6,0.4,0.2,1,,N
PHB20110420,2011-04-21 09:36:00,WC,1,0.6,0.2,0.4,1,,N
NSI20100411,2010-04-12 08:35:00,WC,1,1.1,0.7,0.4,1,,N
NIN20101108,2010-11-08 15:00:00,WC,1,1.3,0.5,0.8,1,20mL DI rinse,N
MAI20120412,2012-04-12 10:45:00,WC,1,0.5,0.1,0.1,0,,Y
MAI20120412,2012-04-12 10:45:00,WC,2,0.2,-0.1,-0.1,0,,Y
PHB20111206,2011-12-07 11:55:00,WC,1,1.4,1.1,0.2,1,,N
PHB20111206,2011-12-07 11:55:00,WC,2,2.7,2.4,0.4,1,,N
YON20100909,2010-09-09 11:00:00,WC,1,1.1,0.8,0.3,1,,N
YON20100909,2010-09-09 11:00:00,WC,2,0.8,0.5,0.3,1,,N
KAI20120116,2012-01-17 07:00:00,WC,1,1.7,1,1,0,,Y
KAI20120116,2012-01-17 07:00:00,WC,2,2.1,1.4,1.4,0,,Y
PHB20090422,2009-04-23 09:38:00,WC,1,16.2,13.1,3.1,4,,N
PHB20100316,2010-03-17 09:05:00,WC,1,1.7,1.1,0.6,1,,N
PHB20101019,2010-10-20 10:40:00,WC,1,11.9,10.6,1.3,4,,N
YON20120208,2012-02-08 10:49:00,WC,1,1.2,0.9,0.9,0,,N
YON20120208,2012-02-08 10:49:00,WC,2,1.1,0.7,0.7,0,,N
PHB20110619,2011-06-20 11:30:00,WC,1,26.9,23.1,3.8,4,unrinsed filter,N
YON20100119,2010-01-19 10:45:00,WC,1,1.8,1.5,0.3,1,,N
YON20100119,2010-01-19 10:45:00,WC,2,1.4,1.1,0.3,1,,N
ROT20100617,2010-06-17 10:05:00,WC,1,1,0.7,0.3,1,20mL DI water rinse,N
YON20111213,2011-12-13 12:55:00,WC,1,1.3,1.1,0.2,1,,N
YON20111213,2011-12-13 12:55:00,WC,2,1.2,0.9,0.3,1,,N
PHB20111117,2011-11-18 10:44:00,WC,1,2.2,1.7,0.5,1,,N
PHB20111117,2011-11-18 10:44:00,WC,2,2.1,1.8,0.3,1,,N
YON20091215,2009-12-15 11:25:00,WC,1,1.5,1.1,0.4,1,,N
YON20091215,2009-12-15 11:25:00,WC,2,1.4,1,0.4,1,,N
PHB20120517,2012-05-18 09:33:00,WC,1,1.2,0.9,0.9,0,,N
