PROJECTNAME,TRIP_CODE,STATIONNAME,STATIONCODE,LONGITUDE,LATITUDE,ZOOPSAMPLEDEPTH_M,PHYTOSAMPLEDEPTH_M,SAMPLEDATELOCAL,SAMPLEDATEUTC,BIOMASS_MGM3,ASHFREEBIOMASS_MGM3,SECCHI_M,SAMPLETYPE,METHODS
NRS,DAR20110627,Darwin,DAR,130.76805,-12.4,23,14,2011-06-27 13:48:00,2011-06-27 04:18:00,5.56585,,8,PZ,
NRS,DAR20111005,Darwin,DAR,130.76805,-12.4,18,20,2011-10-05 09:31:00,2011-10-05 00:01:00,1.37523,,2.1,PZ,
NRS,DAR20120114_2130,Darwin,DAR,130.76805,-12.4,17.4,20,2012-01-15 07:00:00,2012-01-14 21:30:00,39.12967,,2,PZ,
NRS,DAR20120114_2335,Darwin,DAR,130.76805,-12.4,17.4,22,2012-01-15 09:05:00,2012-01-14 23:35:00,26.32359,,2,PZ,
NRS,DAR20120115_0335,Darwin,DAR,130.76805,-12.4,17.8,20,2012-01-15 13:05:00,2012-01-15 03:35:00,48.41338,,1.5,PZ,
NRS,DAR20120115_0540,Darwin,DAR,130.76805,-12.4,19.9,20,2012-01-15 15:10:00,2012-01-15 05:40:00,219.85591,,1.75,PZ,
NRS,DAR20120417,Darwin,DAR,130.76805,-12.4,16,20,2012-04-17 09:42:00,2012-04-17 00:12:00,27.03073,,6,PZ,
NRS,DAR20120729_1630,Darwin,DAR,130.76805,-12.4,24,20,2012-07-30 02:00:00,2012-07-29 16:30:00,57.75986,,,PZ,
NRS,DAR20120729_1930,Darwin,DAR,130.76805,-12.4,23,20,2012-07-30 05:00:00,2012-07-29 19:30:00,49.6622,,,PZ,
NRS,DAR20120729_2230,Darwin,DAR,130.76805,-12.4,23,20,2012-07-30 08:00:00,2012-07-29 22:30:00,29.32068,,4,PZ,
NRS,DAR20120730_0130,Darwin,DAR,130.76805,-12.4,22,,2012-07-30 11:00:00,2012-07-30 01:30:00,30.95885,,4,Z,
NRS,DAR20121029,Darwin,DAR,130.76805,-12.4,18,20,2012-10-30 07:51:00,2012-10-29 22:21:00,47.87781,,1.8,PZ,LM
