TAXON_NAME,STARTDATE,PARENT_NAME,TRAINING,COMMENTS
Urocorycaeus longistylis f,2010-01-12,Corycaeus spp.,Internal training Dahl & Tanaka,
Onychocorycaeus giesbrechti f,2010-01-12,Corycaeus spp.,Internal training Dahl & Tanaka,
Monstrillidae j,2008-09-29,,,
Pontellina morii m,2008-09-29,,,
Subeucalanus mucronatus f,2008-09-29,,,
Urocorycaeus furcifer m,2010-01-12,Corycaeus spp.,Internal training Dahl & Tanaka,
Egg ?,2010-10-06,,,
Subeucalanus pileatus m,2008-09-29,,,
Farranula carinata f,2010-01-12,Corycaeus spp.,Internal training Dahl & Tanaka,
Clausocalanus paululus f,2009-10-12,Clausocalanus spp. f,Internal training Frost & Fleminger,
Physosomata,2008-09-29,,,
Acartia simplex f,2008-09-29,,,
Lubbockia spp. j,2008-09-29,,,
Triconia spp. f,2010-09-23,Oncaea spp. f,External training Ruth Bottger Schnack,
Centropages elongatus m,2008-09-29,,,
Euchaeta concinna f,2008-09-29,,,
Siphonophore abylidae,2010-09-14,Siphonophore,External training Mark Gibbons,Not routinely identified
Oncaea venusta medium hump f,2010-09-23,Oncaea venusta complex f,External training Ruth Bottger Schnack,
Arachnid terrestrial,2008-09-29,,,
Neocalanus spp. CV,2008-09-29,,,Not routinely counted; normally counted as Calanid CV
Centropages australiensis j,2008-09-29,,,
Calocalanus styliremis f,2008-09-29,Calocalanus spp. f,,Not routinely counted; normally counted as Calocalanus spp.
Salpidae agg,2008-09-29,,,
Metridia lucens f,2008-09-29,,,
Doliolum denticulatum,2010-01-14,Doliolum spp.,External training Mark Gibbons,
Doliolum oozoid spp.,2008-09-29,,,
Ditrichocorycaeus dahli m,2010-01-12,Corycaeus spp.,Internal training Dahl & Tanaka,
Stomatopod,2008-09-29,,,
Corycaeus spp. m,2010-01-12,Corycaeus spp.,Internal training Dahl & Tanaka,
Pegea confoederata,2010-02-05,Salpidae,Internal training,
Sapphirina ovatolanceolata / gemma f,2008-09-29,,,
Calanoides patagoniensis m,2008-09-29,,,Australian species currently being reviewed by Janet Bradford-Greive
Thalia democratica sol,2010-01-11,Thalia democratica,Internal training,
Penilia avirostris f,2010-03-24,Penilia avirostris,Internal training,
Pseudevadne tergestina f,2010-03-24,Pseudevadne tergestina,Internal training,
Pseudevadne tergestina m,2010-03-24,Pseudevadne tergestina,Internal training,
Oncaea venusta complex,2008-09-29,,,
Oncaea media complex,2008-09-29,,,
Oncaea clevei complex,2008-09-29,,,
Oncaea mediterranea complex,2008-09-29,,,
Labidocera spp. f,2008-09-29,,,
Labidocera spp. m,2008-09-29,,,
Clytemnestra spp. m,2008-09-29,,,
Lucicutia spp. f,2008-09-29,,,
Lucicutia spp. m,2008-09-29,,,
Calanopia minor f,2008-09-29,,,
Copilia mirabilis m,2008-09-29,,,
Oithona atlantica f,2011-07-08,Oithona Grp3 (pointy head) f,External training Dave McKinnon,Identified when larger than O. longispina and no details as per O. plumifera
Clausocalanus brevipes f,2008-09-29,Clausocalanus spp. f,Internal training Frost & Fleminger,
Bryozoan (Cyphonaute larvae),2008-09-29,,,
Phaenna spinifera f,2008-09-29,,,
Sapphirina nigromaculata f,2008-09-29,,,
Calanoides acutus f,2008-09-29,,,Australian species currently being reviewed by Janet Bradford-Greive
Candacia cheirura f,2008-09-29,,,
Candacia cheirura m,2008-09-29,,,
Candacia falcifera m,2008-09-29,,,
Candacia catula,2008-09-29,,,
Centropages furcatus,2008-09-29,,,
Euaugaptilus spp.,2008-09-29,,,
Euchaeta marina,2008-09-29,,,
Lubbockia spp.,2008-09-29,,,
Mesocalanus spp.,2008-09-29,,,
Paraeuchaeta spp.,2008-09-29,,,
Phaenna spinifera,2008-09-29,,,
Aetideus pseudarmatus f,2008-09-29,,,
Calanus australis f,2008-09-29,,,
Calanus australis m,2008-09-29,,,
Clausocalanus ingens f,2009-10-12,Clausocalanus spp. f,Internal training Frost & Fleminger,
Aetideus acutus f,2008-09-29,,,
Lucicutia flavicornis m,2008-09-29,,,
Lubbockia squillimana f,2008-09-29,,,
Clausocalanus pergens f,2009-10-12,Clausocalanus spp. f,Internal training Frost & Fleminger,
Clausocalanus spp. f,2008-09-29,,Internal training Frost & Fleminger,
Clytemnestra scutellata m,2008-09-29,,,
Clytemnestra spp. j,2008-09-29,,,
Copepod damaged / unidentified,2008-09-29,,,
Calanoid j,2008-09-29,,,
Nauplii copepod,2008-09-29,,,
Copilia quadrata f,2008-09-29,,,
Corycaeus spp.,2010-01-12,Corycaeus spp.,Internal training Dahl & Tanaka,
Farranula spp. f,2008-09-29,Corycaeus spp.,Internal training Dahl & Tanaka,
Farranula spp. m,2008-09-29,Corycaeus spp.,Internal training Dahl & Tanaka,Farranula males not routinely speciated
Corycaeidae j,2008-09-29,Corycaeus spp.,Internal training Dahl & Tanaka,
Cosmocalanus darwinii f,2008-09-29,,,
Cosmocalanus darwinii m,2008-09-29,,,
Ctenocalanus vanus f,2008-09-29,,,
Ctenocalanus vanus m,2008-09-29,,,
Delibus nudus f,2008-09-29,,,
Delibus nudus m,2008-09-29,,,
Eucalanus elongatus m,2008-09-29,,,
Eucalanus spp. j,2008-09-29,,,
Euchaeta spp. j,2008-09-29,,,
Euchaeta spp. f,2008-09-29,,,
Euterpina acutifrons f,2008-09-29,,,
Euterpina acutifrons j,2008-09-29,,,
Euterpina acutifrons m,2008-09-29,,,
Harpacticoid j,2008-09-29,,,
Labidocera acuta f,2008-09-29,,,
Pontellina plumata,2008-09-29,,,
Penaeidae larvae,2015-11-01,Decapod larvae,External training David Conway,
Scolecithricella nicobarica f,2008-09-29,,,
Tortanus gracilis f,2008-09-29,,,
Parvocalanus spp. m,2008-09-29,,,
Pontellopsis tasmanensis f,2008-09-29,,,
Aetideus spp. f,2008-09-29,,,
Paracalanus spp. f,2008-09-29,,,
Candacia catula m,2008-09-29,,,
Rhincalanus spp.,2008-09-29,,,
Copilia spp. m,2008-09-29,,,
Temora spp.,2008-09-29,,,
Acartia spp.,2008-09-29,,,
Labidocera cervi m,2008-09-29,,,
Anthomedusae,2010-01-11,Medusa,Taxonomic workshop,
Clausocalanus jobei f (>1.2mm),2009-10-12,Clausocalanus spp. f,Internal training Frost & Fleminger,
Prosobranch,2010-01-01,Gastropod,Internal training,Any non-Limacina gastropd with a whorling shell (shell whorls to right) 
Thalia democratica agg,2010-01-11,Thalia democratica,Internal training,
Acartia spp. j,2008-09-29,,,
Acartia danae f,2008-09-29,,,
Acartia danae m,2008-09-29,,,
Acartia negligens f,2008-09-29,,,
Acartia negligens m,2008-09-29,,,
Acartia pacifica f,2008-09-29,,,
Acartia pacifica m,2008-09-29,,,
Acartia tranteri f,2008-09-29,,,
Acartia tranteri m,2008-09-29,,,
Acrocalanus gibber f,2008-09-29,,,
Acrocalanus gibber m,2008-09-29,,,
Acrocalanus gracilis f,2008-09-29,,,
Acrocalanus gracilis m,2008-09-29,,,
Acrocalanus longicornis f,2008-09-29,,,
Acrocalanus longicornis m,2008-09-29,,,
Acrocalanus monachus f,2008-09-29,,,
Acrocalanus monachus m,2008-09-29,,,
Bestiolina similis f,2008-09-29,,,
Bestiolina similis m,2008-09-29,,,
Calanid CIV,2008-09-29,,,
Calanid CV,2008-09-29,,,
Calanoides carinatus f,2008-09-29,,,Australian species currently being reviewed by Janet Bradford-Greive
Calanoides carinatus m,2008-09-29,,,Australian species currently being reviewed by Janet Bradford-Greive
Calanopia elliptica f,2008-09-29,,,
Calanopia minor m,2008-09-29,,,
Caligus spp.,2008-09-29,,,
Calocalanus pavo f,2008-09-29,,,
Calocalanus pavo m,2008-09-29,,,
Calocalanus plumulosus f,2008-09-29,,,
Candacia ethiopica f,2008-09-29,,,
Oithona Grp4 (round head) f,2008-09-29,,,Includes Oithona simplex  O. nana
Acrocalanus spp. f,2008-09-29,,,
Acrocalanus spp. m,2008-09-29,,,
Amphipod,2008-09-29,,,
Amphipod j,2008-09-29,,,
Anomuran zoea,2008-09-29,,,
Calanid CI,2008-09-29,,,
Calanid CII,2008-09-29,,,
Calanopia spp. j,2008-09-29,,,
Calocalanus spp. f,2008-09-29,,,
Candacia catula f,2008-09-29,,,
Candacia truncata f,2008-09-29,,,
Lucicutia flavicornis f,2008-09-29,,,
Macrosetella gracilis f,2008-09-29,,,
Macrosetella gracilis m,2008-09-29,,,
Mecynocera clausi f,2008-09-29,,,
Mecynocera clausi m,2008-09-29,,,
Mecynocera spp. j,2008-09-29,,,
Mesocalanus tenuicornis f,2008-09-29,,,
Mesocalanus tenuicornis m,2008-09-29,,,
Microsetella norvegica f,2008-09-29,,,
Microsetella norvegica m,2008-09-29,,,
Microsetella rosea f,2008-09-29,,,
Microsetella rosea m,2008-09-29,,,
Nannocalanus minor f,2008-09-29,,,
Nannocalanus minor m,2008-09-29,,,
Nauplii calanoid,2008-09-29,,,
Nauplii poecilostomatoida / cyclopoid,2008-09-29,,,
Nauplii harpacticoid,2008-09-29,,,
Oithona Grp1 (flat head) f,2008-09-29,,,Includes Diothona oculata D. rigida Oithona brevicornis O. decipiens O. fallax O. nana O. similis
Oithona Grp3 (pointy head) f,2008-09-29,,,Includes Oithona atlantica O. Longispina O. plumifera O. setigera O. tenuis
Oithona spp. large m,2008-09-29,,,Used for all Oithona males less than 0.8 mm in size; Oithonidae males not routinely speciated
Oithona Grp2 (diamond) f,2008-09-29,,,Includes Oithona attenuata O. australis
Oithona spp. j,2008-09-29,,,
Oncaea clevei f,2010-09-23,Oncaea clevei complex f,External training Ruth Bottger Schnack,
Oncaea clevei complex m,2008-09-29,,,Oncaeidae males not routinely speciated unless found coupled or assigned to a dominant female count
Oncaea spp. j,2008-09-29,,,May include Triconia spp.
Oncaea media complex f,2008-09-29,,,
Oncaea media complex m,2008-09-29,,,Oncaeidae males not routinely speciated unless found coupled or assigned to a dominant female count
Oncaea mediterranea complex f,2008-09-29,,,
Oncaea mediterranea complex m,2008-09-29,,,Oncaeidae males not routinely speciated unless found coupled or assigned to a dominant female count
Oncaea venusta complex f,2008-09-29,,,
Oncaea venusta complex m,2008-09-29,,,Oncaeidae males not routinely speciated unless found coupled or assigned to a dominant female count
Paracalanus aculeatus f,2008-09-29,,,
Paracalanus aculeatus m,2008-09-29,,,
Paracalanus indicus f,2008-09-29,,,
Paracalanus indicus m,2008-09-29,,,
Paracalanus spp. j,2008-09-29,,,
Parvocalanus crassirostris f,2008-09-29,,,
Pleuromamma borealis f,2008-09-29,,,
Pleuromamma borealis m,2008-09-29,,,
Pleuromamma quadrungulata f,2008-09-29,,,
Pleuromamma gracilis m,2008-09-29,,,
Pleuromamma spp. j,2008-09-29,,,
Pontellina morii f,2008-09-29,,,
Rhincalanidae j,2008-09-29,,,
Rhincalanus cornutus f,2008-09-29,,,
Sapphirina angusta f,2008-09-29,,,
Sapphirina auronitens f,2008-09-29,,,
Sapphirina spp. j,2008-09-29,,,
Sapphirina cf. nigromaculata f,2008-09-29,,,
Sapphirina opalina f,2008-09-29,,,
Sapphirina stellata f,2008-09-29,,,
Sapphirina gemma f INVALID USE S.OVATOLANCEOLATA,2008-09-29,,,
Parvocalanus spp. f,2008-09-29,,,
Poecilostomatoida / Cyclopoid f,2008-09-29,,,
Euchaeta marina f,2008-09-29,,,
Labidocera laevidentata m,2008-09-29,,,
Oithona spp. m,2008-09-29,,,
Scolecithrix danae f,2008-09-29,,,
Subeucalanus subcrassus f,2008-09-29,,,
Subeucalanus crassus f,2008-09-29,,,
Subeucalanus spp. j,2008-09-29,,,
Temora discaudata f,2008-09-29,,,
Temora discaudata m,2008-09-29,,,
Temora spp. j,2008-09-29,,,
Temora stylifera f,2008-09-29,,,
Temora stylifera m,2008-09-29,,,
Temora turbinata f,2008-09-29,,,
Temora turbinata m,2008-09-29,,,
Temoropia mayumbaensis f,2008-09-29,,,
Temoropia mayumbaensis m,2008-09-29,,,
Undinula vulgaris f,2008-09-29,,,
Undinula vulgaris m,2008-09-29,,,
Actinotroch of phoronid worm,2008-09-29,,,
Gammarid amphipod,2008-09-29,,,
Hyperiid amphipod,2008-09-29,,,
Appendicularia,2008-09-29,,,
Barnacle nauplii,2008-09-29,,,
Barnacle cyprid,2008-09-29,,,
Bivalve,2008-09-29,,,
Brachyuran zoea,2008-09-29,,,
Chaetognatha,2008-09-29,,,
Cnidarian larvae,2008-09-29,Medusa,,Not routinely identified
Colonial ascidian larvae,2008-09-29,,,
Cubozoan larvae,2008-09-29,Medusa,,Not routinely identified
Decapod larvae,2008-09-29,,,
Doliolum spp.,2008-09-29,,,
Echinoderm larvae,2008-09-29,,,
Egg,2008-09-29,,,
Egg mass,2008-09-29,,,
Evadne nordmanni,2008-09-29,,,
Evadne spinifera,2008-09-29,,,
Nauplii euphausiid,2008-09-29,,,
Euphausiid calyptope,2008-09-29,,,
Euphausiid furcilia larvae,2008-09-29,,,
Euphausiid adult,2008-09-29,,,
Fish egg,2008-09-29,,,
Fish larvae,2008-09-29,,,
Fish j,2008-09-29,,,
Fritillariidae,2008-09-29,,,
Gastropod,2008-09-29,,,
Gastropod veliger,2008-09-29,,,
Hydroid,2008-09-29,,,
Hydromedusae,2010-01-11,Medusa,Taxonomic workshop,
Insect terrestrial,2008-09-29,,,
Isopod,2008-09-29,,,
Lucifer spp.,2008-09-29,,,
Medusa,2008-09-29,,,
Megalope,2008-09-29,,,
Noctiluca scintillans,2008-09-29,,,
Nyctiphanes australis j,2008-09-29,,,Speciated routinely in SO samples
Obelia spp.,2008-09-29,,,
Oikopleuridae,2008-09-29,,,
Ostracod,2008-09-29,,,
Pentacrinoid larvae,2008-09-29,Echinoderm larvae,,Not routinely counted
Penilia avirostris,2008-09-29,,,
Podon spp.,2008-09-29,,,
Polychaete,2008-09-29,,,
Porcelain crab zoea,2008-09-29,,,
Pseudevadne tergestina,2008-09-29,,,
Cavoliniidae body,2008-09-29,,,
Cavoliniidae shell,2008-09-29,,,
Salpidae,2008-09-29,,,
Siphonophore,2008-09-29,,,
Sipunculid worm larvae,2008-09-29,,,
Squid,2008-09-29,,,
Tomopteris spp.,2008-09-29,,,
Pteropod,2008-09-29,,,
Scolecithricella/Scolecithrix,2008-09-29,,,
Scolecithrix spp.,2008-09-29,,,
Scottocalanus spp.,2008-09-29,,,
Oncaea scottodicarloi m,2008-09-29,,,
Nauplii pontellidae,2008-09-29,,,
Tortanus spp. f,2008-09-29,,,
Bivalve larvae,2008-09-29,,,
Acartia sinjiensis f,2008-09-29,,,
Clausocalanus parapergens f,2009-10-12,Clausocalanus spp. f,Internal training Frost & Fleminger,
Acartia sinjiensis m,2008-09-29,,,
Corycaeus spp. f,2010-01-12,Corycaeus spp.,Internal training Dahl & Tanaka,
Agetus spp. f,2010-01-12,Corycaeus spp.,Internal training Dahl & Tanaka,
Eucalanidae j,2008-09-29,,,
Eucalanus elongatus f,2008-09-29,,,
Euchaeta marina gp m,2008-09-29,,,
Heterorhabdus spp. j,2008-09-29,,,
Labidocera spp. j,2008-09-29,,,
Labidocera pavo m,2008-09-29,,,
Lucicutia spp. j,2008-09-29,,,
Parvocalanus crassirostris m,2008-09-29,,,
Polychaete larvae,2008-09-29,,,
Pontellina cf. morii f,2008-09-29,,,
Pontellopsis krameri f,2008-09-29,,,
Rhincalanus nasutus f,2008-09-29,,,
Rhincalanus nasutus m,2008-09-29,,,
Rhincalanus rostrifrons f,2008-09-29,,,
Sapphirina nigromaculata m,2008-09-29,,,
Sapphirina opalina m,2008-09-29,,,
Sapphirina scarlata f,2008-09-29,,,
Sapphirina stellata m,2008-09-29,,,
Scolecithrix danae m,2008-09-29,,,
Limacina,2010-01-01,Gastropod,Internal training,Any Limacina like gastropd with a whorling shell (shell whorls to left)
Copilia mirabilis f,2008-09-29,,,
Rhincalanus cornutus m,2008-09-29,,,
Calocalanus spp. j,2008-09-29,,,
Calocalanus spp. m,2008-09-29,,,
Clausocalanus spp. i,2010-09-16,Clausocalanus spp. j,Internal training in intersexes by Felipe Gusmao,
Oithona plumifera f,2011-07-08,Oithona Grp3 (pointy head) f,External training Dave McKinnon,Identified when plumes or setae on gential segment are seen
Acrocalanus spp. i,2010-09-16,Acrocalanus spp. j,Internal training in intersexes by Felipe Gusmao,
Urocorycaeus longistylis m,2010-01-12,Corycaeus spp.,Internal training Dahl & Tanaka,
Mecynocera spp.,2008-09-29,,,
Oncaea venusta medium no hump f,2010-09-23,Oncaea venusta complex f,External training Ruth Bottger Schnack,
Oncaea venusta venella hump f,2010-09-23,Oncaea venusta complex f,External training Ruth Bottger Schnack,
Evadne spinifera f gravid,2010-03-24,Evadne spinifera,Internal training,
Labidocera spp.,2008-09-29,,,
Corycaeus speciosus m,2010-01-12,Corycaeus spp.,Internal training Dahl & Tanaka,
Onychocorycaeus catus m,2010-01-12,Corycaeus spp.,Internal training Dahl & Tanaka,
Corycaeus speciosus f,2010-01-12,Corycaeus spp.,Internal training Dahl & Tanaka,
Trachymedusae,2010-01-11,Medusa,Taxonomic workshop,
Urocorycaeus lautus m,2010-01-12,Corycaeus spp.,Internal training Dahl & Tanaka,
Ditrichocorycaeus andrewsi m,2010-01-12,Corycaeus spp.,Internal training Dahl & Tanaka,
Calycophoran,2010-09-14,Siphonophore,Internal training,
Metridia spp. f,2008-09-29,,,
Metridia spp. m,2008-09-29,,,
Microsetella norvegica,2008-09-29,,,
Microsetella spp.,2008-09-29,,,
Bestiolina spp. f,2008-09-29,,,
Calanopia aurivilli m,2008-09-29,,,
Bestiolina spp. m,2008-09-29,,,
Calanopia aurivilli f,2008-09-29,,,
Acartia fossae f,2008-09-29,,,
Microsetella spp. f,2008-09-29,,,
Microsetella spp. m,2008-09-29,,,
Subeucalanus monachus f,2008-09-29,,,
Mysid,2008-09-29,,,
Onychocorycaeus latus f,2010-01-12,Corycaeus spp.,Internal training Dahl & Tanaka,
Copilia spp.,2008-09-29,,,
Labidocera minuta f,2008-09-29,,,
Lubbockia spp. f,2008-09-29,,,
Ditrichocorycaeus tenuis f,2010-01-12,Corycaeus spp.,Internal training Dahl & Tanaka,
Onychocorycaeus spp. m,2010-01-12,Corycaeus spp.,Internal training Dahl & Tanaka,
Euchaeta indica m,2008-09-29,,,
Cavoliniidae,2008-09-29,,,
Temora discaudata,2008-09-29,,,
Pseudodiaptomus spp.,2008-09-29,,,
Phyllosoma larvae,2008-09-29,,,
Copilia hendorffi f,2008-09-29,,,
Eucalanidae,2008-09-29,,,
Oncaea scottodicarloi f,2010-09-23,Oncaea media complex f,External training Ruth Bottger Schnack,
Acartia tonsa f,2008-09-29,,,
Oncaea venusta typica f,2010-09-23,Oncaea venusta complex f,External training Ruth Bottger Schnack,
Oncaea waldemari f,2010-09-23,Oncaea media complex f,External training Ruth Bottger Schnack,
Ditrichocorycaeus anglicus m,2010-01-12,Corycaeus spp.,Internal training Dahl & Tanaka,
Euchaeta marina m,2008-09-29,,,
Euchaeta marina gp f,2008-09-29,,,
Clausocalanus minor f,2009-10-12,Clausocalanus spp. f,Internal training Frost & Fleminger,
Evadne spinifera f,2010-03-24,Evadne spinifera,Internal training,
Evadne nordmanni f,2010-03-24,Evadne nordmanni,Internal training,
Podon spp. f,2010-03-24,Podon spp.,Internal training,
Ihlea magalhanica solitary,2008-09-29,Salpidae,Internal training,
Leptothecata,2010-01-11,Medusa,Taxonomic workshop,Not routinely identified
Calocalanus plumulosus m,2008-09-29,,,
Candacia bipinnata f,2008-09-29,,,
Candacia bipinnata m,2008-09-29,,,
Candacia bradyi f,2008-09-29,,,
