TAXON_NAME,STARTDATE,PARENT_NAME,TRAINING,COMMENTS
Ceratocorys horrida,2010-09-15,Ceratocorys spp.,Identified by Gustaaf Hallegraeff,
Codonellopsis orthoceras,2010-01-01,Ciliate (Inc. tintinnid),External training Tony John,
Codonellopsis pusilla,2010-01-01,Ciliate (Inc. tintinnid),External training Tony John,
Codonellopsis spp.,2010-01-01,Ciliate (Inc. tintinnid),External training Tony John,
Cyttarocylis spp.,2008-09-29,Ciliate (Inc. tintinnid),External training Tony John,
Epiplocylis spp.,2010-01-01,Ciliate (Inc. tintinnid),External training Tony John,
Eutintinnus spp.,2010-01-01,Ciliate (Inc. tintinnid),External training Tony John,
Odontella spp.,2010-01-01,Ciliate (Inc. tintinnid),External training Tony John,
Parundella spp.,2010-01-01,Ciliate (Inc. tintinnid),External training Tony John,
Undella spp.,2008-09-29,Ciliate (Inc. tintinnid),External training Tony John,
Xystonella spp.,2010-01-01,Ciliate (Inc. tintinnid),External training Tony John,
Coscinodiscus spp. 100-150 µm,2008-09-29,Coscinodiscus spp. > 80 µm,,New size classes added when group started to count NRS phyto
Coscinodiscus spp. 150-200 µm,2008-09-29,Coscinodiscus spp. > 80 µm,,New size classes added when group started to count NRS phyto
Coscinodiscus spp. 300-400 µm,2008-09-29,Coscinodiscus spp. > 80 µm,,New size classes added when group started to count NRS phyto
Gonyaulax polygramma,2008-09-29,Gonyaulax spp.,Identified from photo by Gustaaf Hallegraeff,
Oxytoxum scolopax,2012-03-01,Oxytoxum spp.,Pru Bonham internal training,
Pennate diatom > 10 µm,2011-05-17,Pennate diatom,Internal training Pru Bonhma and Gustaaf Hallegraeff,
Protoperidinium grande,2012-03-01,Protoperidinium spp.,Pru Bonham internal training,
Protoperidinium oceanicum,2012-03-01,Protoperidinium spp.,,
Protoperidinium oceanicum/oblongum,2012-03-01,Protoperidinium spp.,,
Pseudo-nitzschia delicatissima complex <=3 µm,2011-05-17,Pseudo-nitzschia spp.,Internal training Pru Bonhma and Gustaaf Hallegraeff,
Pseudo-nitzschia seriata complex >3 µm,2011-05-17,Pseudo-nitzschia spp.,Internal training Pru Bonhma and Gustaaf Hallegraeff,
Dictyocha antarctica,2010-01-01,Silicoflagellate,Internal training,Valid in SOCPR since 2008-10-01 and AusCPR since 2010-03-01
Dictyocha fibula,2010-01-01,Silicoflagellate,Internal training,Valid in SOCPR since 2008-10-01 and AusCPR since 2010-03-01
Dictyocha speculum,2010-01-01,Silicoflagellate,Internal training,Valid in SOCPR since 2008-10-01 and AusCPR since 2010-03-01
Octactis octonaria,2010-01-01,Silicoflagellate,Internal training,Valid in SOCPR since 2008-10-01 and AusCPR since 2010-03-01
Octactis spp.,2010-01-01,Silicoflagellate,Internal training,
Silicoflagellate 4 points,2010-01-01,Silicoflagellate,External training Tony John,
Silicoflagellate 6 points,2010-01-01,Silicoflagellate,External training Tony John,
Thalassiosira spp. 10-20 µm,2008-09-29,Thalassiosira spp.,Internal training Pru Bonhma and Gustaaf Hallegraeff,Valid in SOCPR since 2008-10-01 and AusCPR since 2011-05-17
Thalassiosira spp. 20-40 µm,2008-09-29,Thalassiosira spp.,Internal training Pru Bonhma and Gustaaf Hallegraeff,Valid in SOCPR since 2008-10-01 and AusCPR since 2011-05-18
Thalassiosira spp. 40-60 µm,2008-09-29,Thalassiosira spp.,Internal training Pru Bonhma and Gustaaf Hallegraeff,Valid in SOCPR since 2008-10-01 and AusCPR since 2011-05-19
Thalassiosira spp. <10 µm,2008-09-29,Thalassiosira spp.,Internal training Pru Bonhma and Gustaaf Hallegraeff,Valid in SOCPR since 2008-10-01 and AusCPR since 2011-05-20
Tripos furca type,2011-05-17,Tripos spp.,Internal training Pru Bonhma and Gustaaf Hallegraeff,
Tripos fusus type,2011-05-17,Tripos spp.,Internal training Pru Bonhma and Gustaaf Hallegraeff,
Tripos hundhausenii,2015-02-01,Tripos spp.,,
Tripos muelleri type,2011-05-17,Tripos spp.,Internal training Pru Bonhma and Gustaaf Hallegraeff,
Acantharia,2008-09-29,,,
Acanthoica quattrospina,2008-09-29,,,
Acanthostomella cf. conicoides,2008-09-29,,,
Acanthostomella minutissima,2012-03-01,No previous id,Tintinnids and Forams not counted routinely in AusCPR before March 2013,Ciliates not previously counted routinely in AusCPR samples
Acanthostomella norvegica,2012-03-01,No previous id,Tintinnids and Forams not counted routinely in AusCPR before March 2013,Ciliates not previously counted routinely in AusCPR samples
Acanthostomella spp.,2008-09-29,,,
Actinocyclus spp.,2008-09-29,,,
Actinopoda,2008-09-29,,,
Alexandrium spp.,2008-09-29,,,
Amphidinium hadai,2008-09-29,,,
Amphisolenia bidentata,2008-09-29,,,
Amphisolenia spp.,2008-09-29,,,
Amphisolenia thrinax,2008-09-29,,,
Amphora spp.,2008-09-29,,,
