TRIP_CODE,STARTPORT,ENDPORT,REGION,STARTLATITUDE,STARTLONGITUDE,STARTSAMPLEDATEUTC,ENDLATITUDE,ENDLONGITUDE,ENDSAMPLEDATEUTC,MILES,VESSEL_NAME,ACKNOWLEDGEMENTS
ABAB20200227,Great Australian Bight,Great Australian Bight,Great Australian Bight,-37.91378,125.94161,2020-02-27 02:01:35,-36.70789,135.33099,2020-02-28 04:05:54,460,Salome,Wallenius Wilhelmsen
ABAD20151126,Great Australian Bight,Adelaide,Great Australian Bight,-35.39449,132.75003,2015-11-26 17:34:41,-34.73434,135.96093,2015-11-27 09:43:47,170,RV Investigator,CSIRO; MNF - IN2015_C01
ABFR20140923,Great Australian Bight,Fremantle,Great Australian Bight,-35.33347,118.31441,2014-09-23 01:59:17,-35.24758,127.17074,2014-09-24 04:53:05,440,ANL Whyalla,ANL
ABFR20141203,Great Australian Bight,Fremantle,Great Australian Bight,-35.39527,121.03357,2014-12-03 00:31:16,-35.28205,129.28408,2014-12-04 15:01:06,410,ANL Whyalla,ANL
ABFR20150812,Great Australian Bight,Fremantle,Great Australian Bight,-35.38998,114.67821,2015-08-12 01:10:45,-32.81238,119.44805,2015-08-13 02:15:46,355,Philadelphia,Laeisz
ABFR20151116,Great Australian Bight,Fremantle,Great Australian Bight,-35.44763,117.81297,2015-11-16 23:23:27,-35.3172,126.78073,2015-11-18 00:12:31,445,ANL Waratah,ANL
ABFR20151219,Great Australian Bight,Fremantle,Great Australian Bight,-35.25822,120.10915,2015-12-19 00:20:13,-35.13417,125.19074,2015-12-20 01:41:38,255,RV Investigator,MNF - IN2015_C02
ABFR20161103,Great Australian Bight,Fremantle,Great Australian Bight,-36.46141,115.16389,2016-11-03 10:17:26,-34.7191,124.24042,2016-11-05 00:27:13,465,Salome,Wallenius Wilhelmsen
ABFR20161203,Great Australian Bight,Fremantle,Great Australian Bight,-36.76151,118.53871,2016-12-03 05:08:35,-35.53429,127.3652,2016-12-04 06:04:04,440,Tonsberg,Wallenius Wilhelmsen
ABFR20170308,Great Australian Bight,Fremantle,Great Australian Bight,-36.62723,117.0467,2017-03-08 07:08:04,-35.52528,125.89019,2017-03-09 06:29:44,440,Salome,Wallenius Wilhelmsen
ABFR20170403,Great Australian Bight,Fremantle,Great Australian Bight,-36.94095,122.85376,2017-04-03 10:28:31,-36.28973,127.75684,2017-04-04 00:06:14,245,Tonsberg,Wallenius Wilhelmsen
ABFR20170404,Great Australian Bight,Fremantle,Great Australian Bight,-35.74032,114.88804,2017-04-04 11:33:00,-34.53539,118.77608,2017-04-05 00:09:55,215,Tonsberg,Wallenius Wilhelmsen
ABFR20170702,Great Australian Bight,Fremantle,Great Australian Bight,-37.89865,125.37469,2017-07-02 01:58:26,-36.97941,134.04575,2017-07-03 01:36:40,425,Salome,Wallenius Wilhelmsen
ABFR20170703,Great Australian Bight,Fremantle,Great Australian Bight,-36.95433,116.78696,2017-07-03 01:59:42,-35.492,125.24715,2017-07-04 05:07:49,425,Salome,Wallenius Wilhelmsen
ABFR20170808,Great Australian Bight,Fremantle,Great Australian Bight,-37.02641,121.24053,2017-08-08 07:49:05,-36.07304,128.38504,2017-08-09 04:59:00,355,Tonsberg,Wallenius Wilhelmsen
