"TripCode","StationName","StationCode","Longitude","Latitude","SampleDateLocal","Biomass_mgm3","AshFreeBiomass_mgm3","Secchi_m","Year","Month","Day","Time_24hr","ZoopAbundance_m3","CopeAbundance_m3","AvgTotalLengthCopepod_mm","HerbivoreCarnivoreCopepodRatio","NoCopepodSpecies_Sample","ShannonCopepodDiversity","CopepodEvenness","PhytoBiomassCarbon_pgL","PhytoAbund_CellsL","DiatomDinoflagellateRatio","AvgCellVol_um3","NoPhytoSpecies_Sample","ShannonPhytoDiversity","PhytoEvenness","NoDiatomSpecies_Sample","ShannonDiatomDiversity","DiatomEvenness","NoDinoSpecies_Sample","ShannonDinoDiversity","DinoflagellateEvenness","CTDTemperature_degC","CTDSalinity_psu","CTDChlF_mgm3","MLDtemp_m","MLDsal_m","DCM_m","Silicate_umolL","Phosphate_umolL","Ammonium_umolL","Nitrate_umolL","Nitrite_umolL","Oxygen_umolL","DIC_umolkg","TAlkalinity_umolkg","Salinity_psu","PigmentChla_mgm3"
"DAR20110627","Darwin","DAR","130.76805","-12.4",2011-06-27,"5.56585","","8","2011","6","27","13:48:00","3031.1287","2156.9337","0.827087449651327","","19","2.25711262790662","0.766567975725414","12885487.1155351","262640","0.836549940310386","1000.6283324703","10","1.96511415748987","0.853438234907807","9","1.88058339707686","0.855890388481254","1","0","","31.5364266666667","33.5918933333333","0.582886666666667","5.966","5.966","20.879","6.03333333333333","0.343333333333333","0.15","0.166666666666667","","","1928.60333333333","2201.26333333333","32.9086666666667","0.229"
"DAR20111005","Darwin","DAR","130.76805","-12.4",2011-10-05,"1.37523","","2.1","2011","10","5","09:31:00","431.2343","356.5787","0.607754344272386","","13","1.8763843730926","0.731548312107656","14200265.5186561","13047","0.959150453453221","46564.7656672032","9","1.20806035293894","0.549811960688842","10","1.20806035293894","0.524653945087476","","","","31.5364266666667","33.5918933333333","0.582886666666667","5.966","5.966","20.879","6.4","0.266666666666667","0.0733333333333333","0.133333333333333","","","1988.56666666667","2264.84333333333","33.728","0.617"
"DAR20120114_2130","Darwin","DAR","130.76805","-12.4",2012-01-15,"39.12967","","2","2012","1","15","07:00:00","9108.0753","7237.1163","0.611946044103229","","15","1.68673347150985","0.622859011558695","59553937.5503703","22558","0.982024643633728","113451.115971274","12","1.65275076964242","0.665115838368988","11","1.6149159068691","0.673472242590677","1","0","","31.4436933333333","33.63896","0.439666666666667","5.966","5.966","21.873","5.1","0.446666666666667","0.27","0.933333333333333","","","1962.34333333333","2242.87666666667","33.6643333333333","0.532"
"DAR20120114_2335","Darwin","DAR","130.76805","-12.4",2012-01-15,"26.32359","","2","2012","1","15","09:05:00","","","","","","","","45907984.438563","23978","0.985363999239688","74939.8855967971","20","2.28410376298735","0.76245256732425","19","2.26721014256799","0.769997326692717","1","0","","31.4040533333333","33.6267333333333","0.539213333333333","5.966","5.966","22.867","5.26666666666667","0.296666666666667","0.623333333333333","0.233333333333333","","","1958.65333333333","2238.92333333333","33.6156666666667","0.62"
"DAR20120115_0335","Darwin","DAR","130.76805","-12.4",2012-01-15,"48.41338","","1.5","2012","1","15","13:05:00","","","","","","","","33308192.2145835","17981","0.991888555810263","78155.8070752461","9","0.519654847084462","0.236505113061524","8","0.493394285004863","0.237272496059824","1","0","","31.5392866666667","33.6296733333333","0.735646666666667","20.879","8.948","20.879","5.36666666666667","0.403333333333333","0.42","0.333333333333333","","","1965.43333333333","2248.46666666667","33.6496666666667","0.663"
"DAR20120115_0540","Darwin","DAR","130.76805","-12.4",2012-01-15,"219.85591","","1.75","2012","1","15","15:10:00","","","","","","","","35980836.5284148","33117","0.996222725858774","50568.3800413685","9","1.22441695114337","0.557256169338765","9","1.22441695114337","0.557256169338765","","","","31.5487733333333","33.6123266666667","0.625586666666667","14.914","5.965","19.885","5.6","0.303333333333333","0.36","0.2","","","1965.57","2249.32666666667","33.6346666666667","0.702"
"DAR20120417","Darwin","DAR","130.76805","-12.4",2012-04-17,"27.03073","","6","2012","4","17","09:42:00","16222.859","10520.5462","0.650829833863569","","13","1.97674953490621","0.770677802723772","8521878.52586793","12052.07","0.979424177209064","28526.5136867865","14","1.73565855550911","0.657681262180897","13","1.70728295153923","0.665620530312879","","","","30.0821533333333","32.4582333333333","1.04245333333333","18.89","5.966","10.937","3.36666666666667","0.223333333333333","0.483333333333333","0.266666666666667","","","1893.87333333333","2172.61","32.487","0.519"
"DAR20120729_1630","Darwin","DAR","130.76805","-12.4",2012-07-30,"57.75986","","","2012","7","30","02:00:00","","","","","","","","12798570.3298206","10986.17","0.987884968673271","40718.9632055188","15","2.3084940452747","0.852456148831775","13","2.19086021615458","0.854153400643674","1","0","","24.3011357142857","33.9862","1.18774285714286","5.965","22.867","22.867","8.5","0.206666666666667","0.48","0","","","1972.49333333333","2282.11","33.9875","0.472"
"DAR20120729_1930","Darwin","DAR","130.76805","-12.4",2012-07-30,"49.6622","","","2012","7","30","05:00:00","","","","","","","","","","","","","","","","","","","","","24.2025","34.0055666666667","1.23258888888889","19.884","20.878","9.942","8.16666666666667","0.186666666666667","0.133333333333333","0.0333333333333333","","","1977.32","2276.54333333333","34.0053333333333","0.504"
"DAR20120729_2230","Darwin","DAR","130.76805","-12.4",2012-07-30,"29.32068","","4","2012","7","30","08:00:00","","","","","","","","","","","","","","","","","","","","","24.1256928571429","33.9946857142857","0.930407142857143","21.873","6.96","5.965","7.76666666666667","0.183333333333333","0.283333333333333","0","","","1974.49","2263.77666666667","33.9923333333333","0.645"
"DAR20121029","Darwin","DAR","130.76805","-12.4",2012-10-30,"47.87781","","1.8","2012","10","30","07:51:00","1962.8348","528.6615","0.616101089346534","","16","1.24862346828327","0.450345721407464","13043126.0203443","30608.93","","16633.5029565475","9","1.30729383152832","0.594975063092185","9","1.30729383152832","0.594975063092185","","","","30.5711533333333","34.4613933333333","0.74118","24.855","24.855","24.855","6.63333333333333","0.37","0.236666666666667","0.2","","","2005.16666666667","2286.38666666667","34.586","1.204"
"DAR20121208_1630","Darwin","DAR","130.76805","-12.4",2012-12-09,"60.47103","","","2012","12","9","02:00:00","","","","","","","","","","","","","","","","","","","","","31.9188642857143","34.51365","0.911764285714286","14.913","7.954","22.867","6.56666666666667","0.266666666666667","0.166666666666667","0.1","","","1997.46333333333","2289.73","34.5126666666667","0.415"
"DAR20121208_2000","Darwin","DAR","130.76805","-12.4",2012-12-09,"53.57521","","","2012","12","9","05:30:00","","","","","","","","","","","","","","","","","","","","","31.9568071428571","34.5190071428571","0.782992857142857","5.965","6.96","21.872","6.2","0.246666666666667","0.0933333333333333","0.1","","","1996.35","2289.76666666667","34.5176666666667","0.353"
"DAR20121208_2330","Darwin","DAR","130.76805","-12.4",2012-12-09,"58.09384","","4.5","2012","12","9","09:00:00","","","","","","","","","","","","","","","","","","","","","31.8895142857143","34.5184928571429","0.975571428571429","19.884","16.902","8.948","6.43333333333333","0.253333333333333","0.0633333333333333","0.0666666666666667","","","1995.22333333333","2286.92","34.5275","0.649"
"DAR20121209_0300","Darwin","DAR","130.76805","-12.4",2012-12-09,"12.86546","","5","2012","12","9","12:30:00","12697.0651","8722.9174","0.811698839828519","","18","2.19344246765677","0.758879013284204","43027949.7977531","69104.07","0.975199999611392","24757.0994448451","18","2.08334116845593","0.720786577977203","16","2.0497775629361","0.739300981243346","1","0","","32.0078857142857","34.5181642857143","0.897021428571429","21.873","8.948","16.902","6.3","0.24","0.14","0","","","1995.25666666667","2288.08666666667","34.5166666666667","0.797"
"DAR20130405","Darwin","DAR","130.76805","-12.4",2013-04-05,"3.21636","","4.5","2013","4","5","09:40:00","6769.5225","4117.2842","0.69456032716906","","13","1.95338399327777","0.761568249913123","34284525.6719801","38639.81","0.981161682613329","28618.9029017086","18","1.8434213035323","0.637780001308235","16","1.81550406452586","0.654804677651305","1","0","","30.2150142857143","33.0944428571429","0.320742857142857","10.933","5.964","6.957","4.6","0.236666666666667","0.00333333333333333","0.266666666666667","","","1929.71","2218.88666666667","33.1483333333333","0.376"
"DAR20130617_0800","Darwin","DAR","130.76805","-12.4",2013-06-17,"11.8236","","3.5","2013","6","17","17:30:00","3264.6882","2019.2891","0.585710654308984","","13","1.74802178968402","0.68150343187048","","","","","","","","","","","","","","27.0384666666667","34.1070466666667","0.47126","8.945","7.951","7.951","5.4","0.253333333333333","0.193333333333333","0","","","1962.48333333333","2257.01666666667","34.131","0.709"
"DAR20130617_1130","Darwin","DAR","130.76805","-12.4",2013-06-17,"23.55495","","","2013","6","17","21:00:00","","","","","","","","","","","","","","","","","","","","","27.0423933333333","34.10874","0.339846666666667","20.872","20.872","19.878","5.66666666666667","0.223333333333333","0.0966666666666667","0","","","1961.74333333333","2259.84333333333","34.14","0.492"
"DAR20130617_1500","Darwin","DAR","130.76805","-12.4",2013-06-18,"23.69333","","","2013","6","18","00:30:00","5431.7846","4243.5817","0.700316787821005","","21","2.66943711096985","0.876799946649747","26662255.4780628","28178.17","0.930241239101352","36418.7100207612","17","1.57169050948351","0.554737790142333","15","1.53893996847815","0.568283397350529","1","0","","27.09078","34.1044733333333","0.371466666666667","5.964","21.866","7.952","5.96666666666667","0.24","0.00333333333333333","0","","","1963.34666666667","2263.80333333333","34.1263333333333","0.471"
"DAR20130617_1830","Darwin","DAR","130.76805","-12.4",2013-06-18,"19.49395","","","2013","6","18","04:00:00","","","","","","","","","","","","","","","","","","","","","26.98556","34.1122533333333","0.304933333333333","10.933","5.964","14.909","6.16666666666667","0.23","0.0366666666666667","0","","","1963.56","2263.27666666667","34.134","0.499"
"DAR20130916","Darwin","DAR","130.76805","-12.4",2013-09-16,"32.88775","","5","2013","9","16","11:26:00","10809.8812","7450.379","0.612856377103557","","13","1.81717946795759","0.708466022017684","4470346.59891651","5074.17","0.91686194760186","22816.7129672268","13","1.43921646849079","0.561109116756653","12","1.34514881929952","0.541327707185412","","","","27.8003733333333","34.7331133333333","0.24766","20.872","5.964","10.933","6.23333333333333","0.236666666666667","0.203333333333333","0","","","2020.51333333333","2310.19666666667","34.7586666666667","0.537"
"DAR20150316","Darwin","DAR","130.76805","-12.4",2015-03-17,"36.84401","","4","2015","3","17","08:35:00","4243.5817","3456.7509","0.633641033303044","","12","1.69791969054893","0.68329314933975","40374794.3978511","43041.24","0.975109774729955","32286.6083305635","16","1.80697928231132","0.65173001239491","15","1.79550307453522","0.663024294676821","1","0","","30.34145","32.437875","0.724333333333333","11.931","5.965","8.948","9.56666666666667","0.116666666666667","0.9","1.1","","","1912.98666666667","2183.25666666667","","1.031"
"DAR20150803_2230","Darwin","DAR","130.76805","-12.4",2015-08-04,"30.58073","","2.2","2015","8","4","08:00:00","","","","","","","","2287.54976598498","10.53","","3533.05218173639","","","","","","","","","","25.7075571428571","34.8703214285714","1.26305","5.965","20.879","20.879","5.66666666666667","0.336666666666667","0.0733333333333333","0.1","","","2013.955","2302.82","34.883","0.743"
