TripCode,Latitude,Longitude,SampleTime_Local,StationName,StationCode,SST,chl_gsm,chl_oc3,GSLA,WaterDepth_m
SOTS_RAS_PULSE_7_2010_20110329,-46.9347333,142.2566,2011-03-29T03:00:00Z,Southern Ocean Timeseries Mooring,SOTS,5.756665938,NA,NA,NA,NA
SOTS_RAS_SOFS12_RAS14_2023_20231103,-47.16952,141.25615,2023-11-03T16:00:00Z,Southern Ocean Timeseries Mooring,SOTS,5.819428301,NA,NA,NA,NA
SOTS_RAS_PULSE_8_2011_20120303,-46.92955,142.2146667,2012-03-03T02:00:00Z,Southern Ocean Timeseries Mooring,SOTS,7.079888488,NA,NA,NA,NA
SOTS_IN2019_V02_CTD3_4.5,-47.0227,142.2334,2019-03-17T01:11:00Z,Southern Ocean Timeseries Mooring,SOTS,7.393044137,NA,NA,NA,NA
SOTS_RAS_PULSE_11_2015_20160208,-46.9405,142.3261,2016-02-08T04:00:00Z,Southern Ocean Timeseries Mooring,SOTS,7.519732837,0.240380466,0.231092632,NA,NA
SOTS_RAS_SOFS10_2021_20220501,-46.9858333,142.2836111,2022-05-01T17:00:00Z,Southern Ocean Timeseries Mooring,SOTS,7.613251092,NA,NA,NA,NA
SOTS_RAS_SOFS12_RAS14_2023_20231020,-47.16952,141.25615,2023-10-20T16:00:00Z,Southern Ocean Timeseries Mooring,SOTS,8.293964373,0.16038534,0.131722614,NA,NA
SOTS_RAS_PULSE_8_2011_20120103,-46.92955,142.2146667,2012-01-03T02:00:00Z,Southern Ocean Timeseries Mooring,SOTS,8.301207496,NA,NA,NA,NA
SOTS_RAS_PULSE_8_2011_20111005,-46.92955,142.2146667,2011-10-05T02:00:00Z,Southern Ocean Timeseries Mooring,SOTS,8.402042972,NA,NA,NA,NA
SOTS_RAS_SOFS12_RAS14_2023_20230901,-47.16952,141.25615,2023-09-01T16:00:00Z,Southern Ocean Timeseries Mooring,SOTS,8.469852457,NA,NA,NA,NA
SOTS_RAS_SOFS10_2021_20210428,-46.9858333,142.2836111,2021-04-28T17:00:00Z,Southern Ocean Timeseries Mooring,SOTS,8.480759483,NA,NA,NA,NA
SOTS_RAS_SOFS10_2021_20210919,-46.9858333,142.2836111,2021-09-19T17:00:00Z,Southern Ocean Timeseries Mooring,SOTS,8.638377186,NA,NA,NA,NA
SOTS_RAS_PULSE_11_2015_20160309,-46.9405,142.3261,2016-03-09T04:00:00Z,Southern Ocean Timeseries Mooring,SOTS,8.71477611,NA,NA,NA,NA
SOTS_RAS_SOFS10_2021_20220109,-46.9858333,142.2836111,2022-01-09T17:00:00Z,Southern Ocean Timeseries Mooring,SOTS,8.748404649,NA,NA,NA,NA
SOTS_RAS_SOFS10_2021_20220322,-46.9858333,142.2836111,2022-03-22T17:00:00Z,Southern Ocean Timeseries Mooring,SOTS,8.76747652,NA,NA,NA,NA
SOTS_RAS_PULSE_11_2015_20151026,-46.9405,142.3261,2015-10-26T04:00:00Z,Southern Ocean Timeseries Mooring,SOTS,8.771072485,NA,NA,NA,NA
SOTS_RAS_PULSE_10_2013_20130724,-46.9378,142.28465,2013-07-24T04:00:00Z,Southern Ocean Timeseries Mooring,SOTS,8.773674496,NA,NA,NA,NA
SOTS_RAS_SOFS12_RAS14_2023_20230825,-47.16952,141.25615,2023-08-25T16:00:00Z,Southern Ocean Timeseries Mooring,SOTS,8.820268058,0.041629523,0.067452542,NA,NA
SOTS20120714,-46.93473,142.25826,2012-07-14T16:48:00Z,Southern Ocean Timeseries Mooring,SOTS,8.827116859,NA,NA,NA,NA
SOTS_RAS_PULSE_11_2015_20150613,-46.9405,142.3261,2015-06-13T04:00:00Z,Southern Ocean Timeseries Mooring,SOTS,8.873817433,NA,NA,NA,NA
SOTS_RAS_SOFS10_2021_20210826,-46.9858333,142.2836111,2021-08-26T17:00:00Z,Southern Ocean Timeseries Mooring,SOTS,8.879068734,0.192866459,0.140193179,NA,NA
SOTS_RAS_SOFS10_2021_20211122,-46.9858333,142.2836111,2021-11-22T17:00:00Z,Southern Ocean Timeseries Mooring,SOTS,8.886200672,NA,NA,NA,NA
SOTS_RAS_SOFS10_2021_20210927,-46.9858333,142.2836111,2021-09-27T17:00:00Z,Southern Ocean Timeseries Mooring,SOTS,8.945945021,NA,NA,NA,NA
SOTS_RAS_PULSE_7_2010_20101114,-46.9347333,142.2566,2010-11-14T03:00:00Z,Southern Ocean Timeseries Mooring,SOTS,8.951076782,NA,NA,NA,NA
SOTS_RAS_SOFS10_2021_20211224,-46.9858333,142.2836111,2021-12-24T17:00:00Z,Southern Ocean Timeseries Mooring,SOTS,8.960470291,NA,NA,NA,NA
SOTS20120722,-46.93473,142.25826,2012-07-23T00:30:00Z,Southern Ocean Timeseries Mooring,SOTS,8.962825025,NA,NA,NA,NA
SOTS_RAS_PULSE_7_2010_20101220,-46.9347333,142.2566,2010-12-20T03:00:00Z,Southern Ocean Timeseries Mooring,SOTS,8.997140648,0.214220166,0.224674359,NA,NA
SOTS_RAS_SOFS10_2021_20210701,-46.9858333,142.2836111,2021-07-01T17:00:00Z,Southern Ocean Timeseries Mooring,SOTS,9.009689663,NA,NA,NA,NA
SOTS_RAS_SOFS10_2021_20211114,-46.9858333,142.2836111,2021-11-14T17:00:00Z,Southern Ocean Timeseries Mooring,SOTS,9.04179699,NA,NA,NA,NA
SOTS_RAS_SOFS12_RAS14_2023_20230908,-47.16952,141.25615,2023-09-08T16:00:00Z,Southern Ocean Timeseries Mooring,SOTS,9.043042841,NA,NA,NA,NA
