TAXON_NAME,SUBGENERA,FUNCTIONALGROUP,GENUS,SPECIES,SPCODE,LENGTH_MM,SIZEREFERENCE,DIET
Subeucalanus mucronatus f,,Copepod,Subeucalanus,mucronatus,104546,3.1,Bradford-Grieve 1994,Herbivore
Acartia simplex f,Acartiura,Copepod,Acartia,simplex,346040,1.11,Bradford-Grieve 1976,Omnivore
Doliolum denticulatum,,Thaliacean,Doliolum,denticulatum,137246,,,unknown
Pegea confoederata,,Thaliacean,Pegea,confoederata,137266,,,unknown
Pseudevadne tergestina m,,Cladoceran,Pseudevadne,tergestina,106278,,,unknown
Euaugaptilus spp.,,Copepod,Euaugaptilus,spp.,104139,6.29,Boltovskoy 1999,Carnivore
Lubbockia squillimana f,,Copepod,Lubbockia,squillimana,128894,1.525,Boltovskoy 1999,Omnivore
Copepod damaged / unidentified,,Copepod,,,1080,1,,unknown
Delibus nudus f,,Copepod,Delibus,nudus,363905,0.55,New species - ‘Delibus f’ & ‘Delibus m’ size range based on the min & max size range of the female & male of D.nudus and D.Sewelli,Herbivore
Eucalanus elongatus m,,Copepod,Eucalanus,elongatus,149718,4.1,Razouls 2012,Herbivore
Eucalanus spp. j,,Copepod,Eucalanus,spp.,104171,3.2,"‘Species j’ (juvenile) (eg. Acartia spp. j or Centropages australiensis j )  the maximum size limit is based on the minimum size of either the smallest male or female of that species or genus and no minimum size limit has been entered",Herbivore
Euchaeta spp. j,,Copepod,Euchaeta,spp.,104174,2.21,"‘Species j’ (juvenile) (eg. Acartia spp. j or Centropages australiensis j )  the maximum size limit is based on the minimum size of either the smallest male or female of that species or genus and no minimum size limit has been entered",Carnivore
Labidocera acuta f,,Copepod,Labidocera,acuta,104726,3.225,Boltovskoy 1999,Carnivore
Pontellopsis tasmanensis f,,Copepod,Pontellopsis,tasmanensis,354898,1.56,Razouls 2013,Carnivore
Copilia spp. m,,Copepod,Copilia,spp.,128721,5.75,‘Species m’ (male) (eg. Acartia spp. m ) size range based on the min & max size range for all the male species of that genus in the database,Omnivore
Acartia spp.,,Copepod,Acartia,spp.,104108,1.11,‘Species spp.’ (eg. Acartia spp. or Oncaea venusta (no sex)) size range based on the min & max size range for all the female & male species of that species or genus present in database,Omnivore
Anthomedusae,,Cnidarian,,,151687,,,unknown
Acartia danae m,Acartia,Copepod,Acartia,danae,346026,0.79,Boltovskoy 1999,Omnivore
Acartia pacifica m,Odontacartia,Copepod,Acartia,pacifica,346059,1.15,Razouls 2012,Omnivore
Acrocalanus monachus m,,Copepod,Acrocalanus,monachus,220839,0.835,Razouls 2012,Herbivore
Calocalanus pavo m,,Copepod,Calocalanus,pavo,104669,0.975,Boltovskoy 1999,Herbivore
Acrocalanus spp. m,,Copepod,Acrocalanus,spp.,104192,1.095,‘Species m’ (male) (eg. Acartia spp. m ) size range based on the min & max size range for all the male species of that genus in the database,Herbivore
Calanopia spp. j,,Copepod,Calanopia,spp.,104207,1.2,"‘Species j’ (juvenile) (eg. Acartia spp. j or Centropages australiensis j )  the maximum size limit is based on the minimum size of either the smallest male or female of that species or genus and no minimum size limit has been entered",Carnivore
Calocalanus spp. f,,Copepod,Calocalanus,spp.,104193,0.465,‘Species f’ (female) (eg. Acartia spp. f ) size range based on the min & max size range for all the female species of that genus in the database,Herbivore
Lucicutia flavicornis f,,Copepod,Lucicutia,flavicornis,104597,1.65,Boltovskoy 1999,Omnivore
Macrosetella gracilis f,,Copepod,Macrosetella,gracilis,116382,1.45,Boltovskoy 1999,Herbivore
Nauplii harpacticoid,,Copepod,,,1102,0.2,,Herbivore
Oncaea media complex m,,Copepod,Oncaea,media complex,128938,0.56,Bottger-Schnack 2001,Omnivore
Oncaea mediterranea complex m,,Copepod,Oncaea,mediterranea complex,128939,0.96,Bottger-Schnack 1997,Omnivore
Paracalanus indicus f,,Copepod,Paracalanus,indicus,104683,0.9,Bradford-Grieve 1994,Herbivore
Pleuromamma gracilis m,,Copepod,Pleuromamma,gracilis,104639,1.75,Boltovskoy 1999,Omnivore
Sapphirina angusta f,,Copepod,Sapphirina,angusta,129041,4,Boltovskoy 1999,Omnivore
Sapphirina opalina f,,Copepod,Sapphirina,opalina,129054,3.15,Boltovskoy 1999,Omnivore
Poecilostomatoida / Cyclopoid f,,Copepod,,,1103,0.7,,unknown
Subeucalanus crassus f,,Copepod,Subeucalanus,crassus,104544,3.25,Boltovskoy 1999,Herbivore
Actinotroch of phoronid worm,,Phoronid,,,148378,,,unknown
Brachyuran zoea,,Decapod,,,106673,,,unknown
Medusa,,Cnidarian,,,135220,,,unknown
Scolecithrix spp.,,Copepod,Scolecithrix,spp.,104230,2.1,,Herbivore
Lucicutia spp. j,,Copepod,Lucicutia,spp.,104183,2,"‘Species j’ (juvenile) (eg. Acartia spp. j or Centropages australiensis j )  the maximum size limit is based on the minimum size of either the smallest male or female of that species or genus and no minimum size limit has been entered",Omnivore
Copilia mirabilis f,,Copepod,Copilia,mirabilis,129038,3.15,Boltovskoy 1999,Omnivore
Calocalanus spp. m,,Copepod,Calocalanus,spp.,104193,0.765,‘Species m’ (male) (eg. Acartia spp. m ) size range based on the min & max size range for all the male species of that genus in the database,Herbivore
Oncaea venusta venella hump f,,Copepod,Oncaea,venusta venella hump,363588,0.85,Bottger-Schnack & Huys 2004,Omnivore
Labidocera spp.,,Copepod,Labidocera,spp.,104208,2.445,‘Species spp.’ (eg. Acartia spp. or Oncaea venusta (no sex)) size range based on the min & max size range for all the female & male species of that species or genus present in database,Carnivore
Calycophoran,,Cnidarian,,,135333,,,unknown
