code,TripCode_depth,TripCode,StationName,StationCode,Longitude,Latitude,ZSampleDepth_m,PSampleDepth,SampleDateLocal,SampleDateUTC,Time_24hr,Year,Month,Day,Silicate_umolL,Nitrate_umolL,Phosphate_umolL,Ammonium_umolL,Chla_mgm3,Temperature_degC,Salinity_psu,Oxygen_umolL,depth_m,Turbidity_NTU,Density_kgm3,bottom_depth,day_length,depth_factor,depth_NRS,Secchi_m,MLD_temp,MLD_sal,DCM,DIC_umolkg,TAlkalinity_umolkg,Prochlorococcus_cells_ml,Synecochoccus_cells_ml,Picoeukaryotes_cells_ml,Bacterial_Richness,Archaeal_Richness,Eukaryote_Richness,Bacterial_Niche_Cluster,Eukaryote_Niche_Cluster,Archaea_Niche_Cluster,Bacterial_Chlorophyll_Index,Bacterial_Nitrogen_Index,Bacterial_Oxygen_Index,Bacterial_Phosphate_Index,Bacterial_Salinity_Index,Bacterial_Silicate_Index,Bacterial_Temperature_Index,Archaeal_Temperature_Index,Archaeal_Salinity_Index,Archaeal_Nitrogen_Index,Archaeal_Phosphate_Index,Archaeal_Silicate_Index,Archaeal_Oxygen_Index,Archaeal_Chlorophyll_Index,Eukaryote_Temperature_Index,Eukaryote_Salinity_Index,Eukaryote_Nitrogen_Index,Eukaryote_Phosphate_Index,Eukaryote_Silicate_Index,Eukaryote_Oxygen_Diversity,Eukaryote_Chlorophyll_Index
22011,NRSDAR20150803_1932_000,DAR20150803_1932,Darwin,DAR,130.76805,-12.4,2,,2015-08-04T05:02:00Z,2015-08-03T19:32:00Z,5:02:00,2015,8,4,5.2,0.1,0.22,0.02,NA,25.7514,34.8498,NA,2,NA,NA,20,11.7371642,Surface,Surface-25m,NA,10.937,5.965,16.902,2012.503333,2304.16,1937.96,51187.5,5094.445,1031,334,1556,20,15,19,0.531550977,0.723811864,210.7269666,0.16668616,35.28071514,1.819445923,25.16012194,27.59649704,34.7790504,0.749493776,0.23775537,1.802233213,180.5117432,0.671278399,25.22233289,34.99834395,1.846096363,0.233709279,4.464404375,215.5389032,0.545684771
22012,NRSDAR20150803_2230_000,DAR20150803_2230,Darwin,DAR,130.76805,-12.4,2,,2015-08-04T08:00:00Z,2015-08-03T22:30:00Z,8:00:00,2015,8,4,5.6,0.1,0.33,0.04,NA,25.7018,34.8716,NA,2,NA,NA,20,11.7371642,Surface,Surface-25m,2.2,5.965,20.879,20.879,2013.955,2302.82,2640.125,34040.74,2977.16,17,16,18,6,7,11,0.39871139,31.92395547,189.2138003,1.490096648,34.79161438,91.85199669,14.15791342,18.09272008,35.3246696,2.4774806,0.261210861,1.142104803,235.8591184,0.603374886,12.12717547,35.0126486,16.96962679,1.231347613,53.58332188,203.0835903,0.555818039
22010,NRSDAR20150804_0130_000,DAR20150804_0130,Darwin,DAR,130.76805,-12.4,2,,2015-08-04T11:00:00Z,2015-08-04T01:30:00Z,11:00:00,2015,8,4,5.6,0.1,0.28,0.21,NA,25.7755,34.9063,NA,2,NA,NA,20,11.74713263,Surface,Surface-25m,1.5,17.896,5.965,17.896,2021.403333,2326.356667,2072.78,33670,3589.445,1096,301,1230,20,15,19,0.537369998,0.692957796,210.0718378,0.166642829,35.26593383,1.829650376,25.28994329,27.57315083,34.79446277,0.706360491,0.232860646,1.822750573,180.5321884,0.662678044,24.4906182,35.15541911,2.090087315,0.244271936,3.93161918,221.54223,0.564802907
22013,NRSDAR20150804_0430_000,DAR20150804_0430,Darwin,DAR,130.76805,-12.4,2,,2015-08-04T14:00:00Z,2015-08-04T04:30:00Z,14:00:00,2015,8,4,5.8,0.1,0.37,0.04,NA,25.8266,34.8413,NA,2,NA,NA,20,11.74713263,Surface,Surface-25m,1.5,12.925,13.919,12.925,2008.776667,2330.31,1175.8,47388.17,3898.905,959,269,1437,20,15,19,0.517811933,0.651019217,210.3391893,0.15887741,35.29875727,1.746600232,25.33274482,27.46036603,34.78658785,0.760405946,0.239805415,1.810927983,181.05904,0.647489907,24.67010517,35.10729266,2.117546784,0.247426509,3.953993874,221.9800435,0.560878801
34216,NRSDAR20151117_000,DAR20151117,Darwin,DAR,130.76805,-12.4,2,,2015-11-18T08:16:00Z,2015-11-17T22:46:00Z,8:16:00,2015,11,18,6.7,0.1,0.17,0.31,NA,31.1292,35.4943,162.0542,2,2.6886,1021.7101,20,12.71675147,Surface,Surface-25m,2.5,11.931,8.948,11.931,2034.02,2330.883333,1611.46,101382.845,6193.055,774,107,1334,20,15,19,0.539159183,0.538838809,206.3689476,0.154697215,35.21834969,1.798896238,25.9388456,28.50015675,34.8106415,0.387369882,0.215204385,2.055782898,178.8609814,0.615150884,26.60429293,34.76990754,1.62829789,0.243491816,4.572663584,204.8177314,0.545360932
34219,NRSDAR20160201_2130_000,DAR20160201_2130,Darwin,DAR,130.76805,-12.4,2,,2016-02-02T07:00:00Z,2016-02-01T21:30:00Z,7:00:00,2016,2,2,1.1,0.2,0.2,0.43,NA,30.6781,33.46,NA,2,NA,1020.3531,18.5,12.44898735,Surface,Surface-25m,1.5,15.908,5.965,11.931,1938.853333,2207.143333,1886.54,84899.88,5325.06,603,172,1522,20,15,19,0.559429666,0.709467688,208.6103743,0.173504886,35.10452066,1.839519463,25.88446679,27.40478898,34.79338446,0.659742385,0.223560764,1.684222931,187.7181174,0.712596813,26.80793881,34.58885238,1.521077248,0.222803571,3.903746272,203.2954321,0.563251477
34235,NRSDAR20160202_0330_000,DAR20160202_0330,Darwin,DAR,130.76805,-12.4,2,,2016-02-02T13:00:00Z,2016-02-02T03:30:00Z,13:00:00,2016,2,2,1.3,0.2,0.1,0.49,NA,30.5505,33.4033,NA,2,NA,1020.3477,19,12.44898735,Surface,Surface-25m,1.5,5.966,6.96,6.96,1940.613333,2216.71,2022.225,83183.33,4355.555,843,162,1634,20,15,19,0.535817525,0.648392174,204.5961916,0.169619928,35.05258666,1.972150065,26.29092195,27.1526531,34.79216988,0.75991413,0.22592413,1.604420926,191.1460598,0.719336459,27.09365264,34.41919668,1.930206395,0.244201625,4.660952536,205.9657577,0.575559599
34236,NRSDAR20160202_0630_000,DAR20160202_0630,Darwin,DAR,130.76805,-12.4,2,,2016-02-02T16:00:00Z,2016-02-02T06:30:00Z,16:00:00,2016,2,2,1.4,0.2,0.13,0.52,NA,30.3634,32.1456,NA,2,NA,1019.4536,19.3,12.44898735,Surface,Surface-25m,2,16.902,6.96,6.96,1940.996667,2214.653333,3747.06,94628.105,6423.525,654,180,1688,20,15,19,0.532869825,0.698725299,205.6266382,0.171018076,35.05762651,1.932756569,26.02620158,27.18509509,34.78903597,0.769769436,0.225748765,1.628930391,190.5315878,0.725870841,26.67041277,34.62147744,1.949624581,0.241332763,4.5234853,209.0939868,0.574970653
34237,NRSDAR20160202_0030_000,DAR20160202_0030,Darwin,DAR,130.76805,-12.4,2,,2016-02-02T10:00:00Z,2016-02-02T00:30:00Z,10:00:00,2016,2,2,1.1,0.2,2.53,0.45,NA,30.5365,33.4384,NA,2,NA,1020.3859,20,12.44898735,Surface,Surface-25m,2,12.925,5.966,17.896,1940.66,2214.376667,2713.15,79366.605,4291.605,619,162,1474,20,15,19,0.550591705,0.632628047,204.764313,0.169592228,35.05335476,1.925432123,26.34186767,27.33812515,34.78018239,0.705039246,0.224391573,1.650177567,189.1288759,0.736272014,27.28631589,34.39408111,1.33037536,0.22480771,3.785893457,198.1870271,0.555516781
34307,NRSDAR20160530_000,DAR20160530,Darwin,DAR,130.76805,-12.4,2,,2016-05-31T07:50:00Z,2016-05-30T22:20:00Z,7:50:00,2016,5,31,NA,NA,NA,NA,NA,29.9396,34.453,160.39,2,1.8849,1021.3408,17.1,11.5154157,Surface,Surface-25m,3.5,6.96,14.913,14.913,1989.653333,2276.766667,1464.465,114275.705,3178.955,628,164,1308,20,15,19,0.519938382,0.786202778,204.6919302,0.176608499,35.08183716,2.156612786,26.19383976,27.89026179,34.8106304,0.51305111,0.214998884,1.945463117,181.1228379,0.669548237,26.0140748,34.81986405,1.881698549,0.244287916,4.708719413,208.6693009,0.572810225
