StationCode,SampleDateLocal,SampleDepth_m,Nitrate_umolL,Silicate_umolL,Phosphate_umolL,Salinity_psu,Temperature_degC,SOI
MAI,1944-10-15,0,,,,34.992,10.89,-8.6
MAI,1944-10-15,20,,,,34.992,10.88,-8.6
MAI,1944-10-15,50,,,,34.992,10.88,-8.6
MAI,1944-11-21,0,,,,,12.43,-6.7
MAI,1944-11-21,20,,,,,11.8,-6.7
MAI,1944-11-21,50,,,,,11.45,-6.7
MAI,1945-03-16,0,0.6,,0.05,35.065,14.7,13.2
MAI,1945-03-16,20,1.6,,0.07,35.083,14.32,13.2
MAI,1945-03-16,50,0.3,,0.09,35.028,14.16,13.2
MAI,1945-05-03,0,1.1,,0.08,35.137,13,-0.3
MAI,1945-05-03,20,0.3,,0.04,35.173,13,-0.3
MAI,1945-05-03,50,0.6,,0.04,35.137,12.95,-0.3
MAI,1946-02-13,0,1.6,,0.05,35.101,14.8,4.4
MAI,1946-02-13,50,2.4,,0.05,35.01,14.1,4.4
MAI,1946-03-13,0,0.8,,0,34.92,15.37,-2
MAI,1946-03-13,20,1.3,,0,34.992,15.13,-2
MAI,1946-03-13,50,1.5,,0.03,35.01,14.75,-2
MAI,1946-04-25,0,0.5,,0.03,,13.98,-9.6
MAI,1946-04-25,20,3,,0.05,,13.8,-9.6
MAI,1946-04-25,50,2.8,,0.05,,13.57,-9.6
MAI,1946-05-09,0,1.5,,0.05,,13.25,-11.4
MAI,1946-05-09,20,1.5,,0.06,,12.95,-11.4
MAI,1946-05-09,50,2,,0.05,,12.95,-11.4
MAI,1946-06-18,0,2.3,,0.04,34.92,12.05,-9.6
MAI,1946-06-18,20,2.3,,0.07,34.884,12.1,-9.6
MAI,1946-06-18,50,1.6,,0.05,34.974,12,-9.6
MAI,1946-07-15,0,3.2,,0.06,34.974,11.7,-10.2
MAI,1946-07-15,20,3.2,,0.05,34.992,11.5,-10.2
MAI,1946-07-15,50,3.8,,0.06,34.992,11.7,-10.2
MAI,1946-08-27,0,5.4,,0.06,34.956,10.66,-4.4
MAI,1946-08-27,20,5.4,,0.08,35.046,10.71,-4.4
MAI,1946-08-27,50,9.2,,0.06,34.902,,-4.4
MAI,1946-09-24,0,5,,0.08,34.866,10.3,-16
MAI,1946-09-24,20,5.7,,0.08,34.938,10.33,-16
MAI,1946-09-24,50,10.5,,0.1,35.01,10.25,-16
MAI,1946-10-18,0,0.8,,0,,11,-12.3
MAI,1946-10-18,20,2,,0.04,,10.9,-12.3
MAI,1946-10-18,50,4.4,,0.07,34.884,10.8,-12.3
MAI,1946-11-27,0,1,,0.05,,11.9,-1.4
MAI,1946-11-27,20,2.7,,0.09,34.866,11.87,-1.4
MAI,1946-11-27,50,3.7,,0.01,,11.2,-1.4
MAI,1947-01-30,0,1.2,,0.04,34.92,15.2,-4.9
MAI,1947-01-30,20,1.2,,0.05,34.902,14.45,-4.9
